,utterance,prompt,bigscience/T0pp
282,"I Need To Make A Transfer, What Will The Fee Be?","Considering this utterance: I Need To Make A Transfer, What Will The Fee Be? What is the intent that best describes it?","ask questions, complain, get answers, inquire"
283,If I Make A Top-Up Are There Charges Applied?,Considering this utterance: If I Make A Top-Up Are There Charges Applied? What is the intent that best describes it?,apply some costs on top-ups for services provided by another service provider
284,Can I Also Transfer With Swift?,Considering this utterance: Can I Also Transfer With Swift? What is the intent that best describes it?,inquire about something's availability..or is the question a naive question?
285,Are Swift Transfers Accepted?,Considering this utterance: Are Swift Transfers Accepted? What is the intent that best describes it?,Accepted by Banks and Financial Institutions
286,I Would Like To Refill My Account Using Swift.,Considering this utterance: I Would Like To Refill My Account Using Swift. What is the intent that best describes it?,get money using swift account refill with your credit card
287,Do I Have To Pay For Topping Up By Transfer?,Considering this utterance: Do I Have To Pay For Topping Up By Transfer? What is the intent that best describes it?,pay for topping up by transfer online from your bank account
288,Are There Any Sort Of Fees Involved For Top Of Transfers?,Considering this utterance: Are There Any Sort Of Fees Involved For Top Of Transfers? What is the intent that best describes it?,Nostalgia for old time movies
289,Is It Possible To Get A Transfer From Swift?,Considering this utterance: Is It Possible To Get A Transfer From Swift? What is the intent that best describes it?,Possible to get a transfer from swift.
290,Do I Have To Pay Any Fees In Order To Receive Money?,Considering this utterance: Do I Have To Pay Any Fees In Order To Receive Money? What is the intent that best describes it?,ask questions or seek clarifications about fees and the payment process
291,How Much Am I Charged To Receive Money?,Considering this utterance: How Much Am I Charged To Receive Money? What is the intent that best describes it?,Businesslike and professional. i.e.
292,Will You Deal With Swift Transfers?,Considering this utterance: Will You Deal With Swift Transfers? What is the intent that best describes it?,provide financial services to the general public by making available the services of banks
293,Will There Be Any Charges For Money Received?,Considering this utterance: Will There Be Any Charges For Money Received? What is the intent that best describes it?,Answer not in context Yes I will charge you something
294,Will A Transfer Incur A Fee?,Considering this utterance: Will A Transfer Incur A Fee? What is the intent that best describes it?,Specify an intention of the utterance
295,Are There Charges For Receiving A Sepa Transfer?,Considering this utterance: Are There Charges For Receiving A Sepa Transfer? What is the intent that best describes it?,ask a question about receiving Sepa transfer
296,If I Transfer Money From My Bank To Top-Up My Account Will I Be Charged?,Considering this utterance: If I Transfer Money From My Bank To Top-Up My Account Will I Be Charged? What is the intent that best describes it?,be charged by the bank for sending cash to their account
297,Will I Be Charged If Someone Needs To Send Me Money?,Considering this utterance: Will I Be Charged If Someone Needs To Send Me Money? What is the intent that best describes it?,Charged to send money to someone else.
298,What Are The Fees For Top-Ups?,Considering this utterance: What Are The Fees For Top-Ups? What is the intent that best describes it?,Request the cost of a top-up with telecommunications services
299,Will Topping Up By Transfer Lead To A Charge On My Account?,Considering this utterance: Will Topping Up By Transfer Lead To A Charge On My Account? What is the intent that best describes it?,Charges for using other payment options might appear on the account.
300,What Are The Charges For Receiving Money?,Considering this utterance: What Are The Charges For Receiving Money? What is the intent that best describes it?,express sarcasm at the speaker
301,What Is The Fee To Receive Money?,Considering this utterance: What Is The Fee To Receive Money? What is the intent that best describes it?,joking question or a serious question
302,How Much Am I Charged For A Sepa Transfer?,Considering this utterance: How Much Am I Charged For A Sepa Transfer? What is the intent that best describes it?,transfer fee of £20 and a £40 deposit
303,How Much Is The Fee For A Sepa Transfer?,Considering this utterance: How Much Is The Fee For A Sepa Transfer? What is the intent that best describes it?,request for a quote for an intercity train fare
304,What'Ll It Charge Me For A Sepa Transfer?,Considering this utterance: What'Ll It Charge Me For A Sepa Transfer? What is the intent that best describes it?,Request for price estimate (transfer) - English
305,Is There A Charge For Topping Up By Transfer?,Considering this utterance: Is There A Charge For Topping Up By Transfer? What is the intent that best describes it?,be charged for topping up via transfer.'
306,Do You Do Swift Transfers?,Considering this utterance: Do You Do Swift Transfers? What is the intent that best describes it?,do fast transfers.. and have no complaints.
307,Should I Expect To Be Charged For Topping Up By Transfer?,Considering this utterance: Should I Expect To Be Charged For Topping Up By Transfer? What is the intent that best describes it?,be in the right place at the opportune time
308,Will I Be Charged For A Sepa Transfer?,Considering this utterance: Will I Be Charged For A Sepa Transfer? What is the intent that best describes it?,ask a question for help or advice from others
309,Is There A Fee For A Transfer? If So How Much Will It Be?,Considering this utterance: Is There A Fee For A Transfer? If So How Much Will It Be? What is the intent that best describes it?,ask a question that will help the speaker determine what it will cost to transfer
310,Please Tell Me About Swift Transfers At This Bank.,Considering this utterance: Please Tell Me About Swift Transfers At This Bank. What is the intent that best describes it?,describe a bank account transfer system..
311,Is There A Fee For Transfer Top-Up?,Considering this utterance: Is There A Fee For Transfer Top-Up? What is the intent that best describes it?,inquire about a service fee and see if there is
312,Can You Tell Me What The Transfer Policy Is?,Considering this utterance: Can You Tell Me What The Transfer Policy Is? What is the intent that best describes it?,Tell me what a transfer policy is.
313,Is A Swift Transfer Okay?,Considering this utterance: Is A Swift Transfer Okay? What is the intent that best describes it?,No. It does not need to be OK.
314,Will I Be Charged A Fee If I Receive A Sepa Transfer,Considering this utterance: Will I Be Charged A Fee If I Receive A Sepa Transfer What is the intent that best describes it?,Ask a question about fess
315,"When Topping Up By Transfer, Will I Be Charged?","Considering this utterance: When Topping Up By Transfer, Will I Be Charged? What is the intent that best describes it?",Ask for more information or clarification about something.
316,What Us The Fee To Transfer Money From My Bank?,Considering this utterance: What Us The Fee To Transfer Money From My Bank? What is the intent that best describes it?,ask a question about charges related to money transfers
317,Do I Get Charged If I Am Getting Money?,Considering this utterance: Do I Get Charged If I Am Getting Money? What is the intent that best describes it?,express doubt about a possible charge or fee
318,Can You Tell Me The Total Cost Of A Transfer?,Considering this utterance: Can You Tell Me The Total Cost Of A Transfer? What is the intent that best describes it?,Request for information about a financial transaction.
319,Please Help Me!  I Need To Cancel A Transaction.,Considering this utterance: Please Help Me!  I Need To Cancel A Transaction. What is the intent that best describes it?,Request help and advice for financial issues. Describe the problem and ask for advice from people who have dealt with the same situation.
320,Can You Limit My Top Up?,Considering this utterance: Can You Limit My Top Up? What is the intent that best describes it?,ask for a limit on the amount of money that can be added
321,Am I Free To Top-Up As Much As I Want?,Considering this utterance: Am I Free To Top-Up As Much As I Want? What is the intent that best describes it?,give advice on the purchase to the person who asks
322,Is There A Top Up Limit For My Account?,Considering this utterance: Is There A Top Up Limit For My Account? What is the intent that best describes it?,Asking about a limit to top up
323,What Is The Limit To Top Up?,Considering this utterance: What Is The Limit To Top Up? What is the intent that best describes it?,describe the limits in the top ups and the cost of the service
324,How Much Money Can I Top Up?,Considering this utterance: How Much Money Can I Top Up? What is the intent that best describes it?,ask for more money to be added to the account
325,What Are The Restrictions To Top-Offs?,Considering this utterance: What Are The Restrictions To Top-Offs? What is the intent that best describes it?,asks an inquiry about the rules governing top-offs
326,Are The Top-Ups Limited?,Considering this utterance: Are The Top-Ups Limited? What is the intent that best describes it?,limit the total top-ups.'
327,What Is The Top Up Limit,Considering this utterance: What Is The Top Up Limit What is the intent that best describes it?,describe it to someone else in order to get them to buy something with money
328,I Need To Find Out What Is The Limit For Top-Ups.,Considering this utterance: I Need To Find Out What Is The Limit For Top-Ups. What is the intent that best describes it?,find out a limit for top-ups
329,Do You Have A Limit To Top Ups?,Considering this utterance: Do You Have A Limit To Top Ups? What is the intent that best describes it?,question of intent to arouse curiosity in the reader
330,What Is Maximum Top Up?,Considering this utterance: What Is Maximum Top Up? What is the intent that best describes it?,Defintion.com online dictionaries
331,How Can I Tell What The Limit Is To Top-Ups?,Considering this utterance: How Can I Tell What The Limit Is To Top-Ups? What is the intent that best describes it?,ask about top-ups limit in order to find out the limit
332,Is There A Limit To Top-Up Amounts?,Considering this utterance: Is There A Limit To Top-Up Amounts? What is the intent that best describes it?,limitless potential to grow.. and expand.
333,Is There Any Limit To The Amount I Can Add To A Card At A Time?,Considering this utterance: Is There Any Limit To The Amount I Can Add To A Card At A Time? What is the intent that best describes it?,Add some money into a card now.
334,I Want To Know If There Is A Maximum I Can Top Up.,Considering this utterance: I Want To Know If There Is A Maximum I Can Top Up. What is the intent that best describes it?,express curiosity about a topic of arbitrary value
335,What Is The Limit To A Top-Up?,Considering this utterance: What Is The Limit To A Top-Up? What is the intent that best describes it?,ask for top-ups as much as you are interested.
336,Tell Me If There Are Any Top-Up Limits?,Considering this utterance: Tell Me If There Are Any Top-Up Limits? What is the intent that best describes it?,Requesting information about restrictions on money transfers.
337,How Can I Top-Up My Limit?,Considering this utterance: How Can I Top-Up My Limit? What is the intent that best describes it?,use it as a reminder for my prepaid
338,Is There A Limit To Top-Ups?,Considering this utterance: Is There A Limit To Top-Ups? What is the intent that best describes it?,limit the numbers of top-ups per month
339,Can I Top-Up As Much As I Want?,Considering this utterance: Can I Top-Up As Much As I Want? What is the intent that best describes it?,be polite to others with no restriction to what I can do
340,Can You Tell Me The Limits For Top Ups?,Considering this utterance: Can You Tell Me The Limits For Top Ups? What is the intent that best describes it?,Requesting information about limits or policies is the best title for this sentence
341,When I Top Up What Are The Amoutn Limits.,Considering this utterance: When I Top Up What Are The Amoutn Limits. What is the intent that best describes it?,limitless adverbial infinitive
342,Is There A Limit On Top-Ups?,Considering this utterance: Is There A Limit On Top-Ups? What is the intent that best describes it?,limitless.eu.uk.pl
343,What Is The Top-Ups Limit?,Considering this utterance: What Is The Top-Ups Limit? What is the intent that best describes it?,describe a limit on how much can be spent
344,Are There Limits To Top-Ups?,Considering this utterance: Are There Limits To Top-Ups? What is the intent that best describes it?,express doubt about the meaning of the utterance
345,Is There A Maximum Amount Of Top-Ups?,Considering this utterance: Is There A Maximum Amount Of Top-Ups? What is the intent that best describes it?,ask questions about the limits of top-ups
346,Do You Have A Top-Up Limit?,Considering this utterance: Do You Have A Top-Up Limit? What is the intent that best describes it?,Ask about their limits for top-ups
347,What'S The Top Up Limit?,Considering this utterance: What'S The Top Up Limit? What is the intent that best describes it?,ask for the limit on the card to be topped up
348,What Is The Limit To Top-Up?,Considering this utterance: What Is The Limit To Top-Up? What is the intent that best describes it?,limit to the number of times you can top up your phone
349,How Much Can I Top-Up To My Card At A Time?,Considering this utterance: How Much Can I Top-Up To My Card At A Time? What is the intent that best describes it?,ask for help with something relating to the credit card
350,How Much Can I Top Up?,Considering this utterance: How Much Can I Top Up? What is the intent that best describes it?,make a payment to re-charge an item
351,What Is The Most I Can Top Up?,Considering this utterance: What Is The Most I Can Top Up? What is the intent that best describes it?,ask someone what top up is on their card.
352,Is There A Limit To How High I Can Top-Up?,Considering this utterance: Is There A Limit To How High I Can Top-Up? What is the intent that best describes it?,Answer not in context Is there a limit to how high I can top-up?
353,Is There An Amount Limit To My Top-Up?,Considering this utterance: Is There An Amount Limit To My Top-Up? What is the intent that best describes it?,be able to spend an unlimited amount of money
354,Is There A Limit For Top-Ups?,Considering this utterance: Is There A Limit For Top-Ups? What is the intent that best describes it?,questioning the value of money and how we use it
355,Is There A Maximum I Can Top Up?,Considering this utterance: Is There A Maximum I Can Top Up? What is the intent that best describes it?,"No, I'd like to get more"
356,How Can I Tell If There Is A Top-Up Limit?,Considering this utterance: How Can I Tell If There Is A Top-Up Limit? What is the intent that best describes it?,inquire about the amount of the top-up
357,Do You Have Any Restrictions To My Top-Up?,Considering this utterance: Do You Have Any Restrictions To My Top-Up? What is the intent that best describes it?,ask to make sure they have enough cash to pay
358,As For Limits Are Top Ups Included?,Considering this utterance: As For Limits Are Top Ups Included? What is the intent that best describes it?,include and not exclude a certain quantity as part of the service
359,Which Cards And Currencies Do You Support?,Considering this utterance: Which Cards And Currencies Do You Support? What is the intent that best describes it?,welcomes a wide variety of payment and digital crypto
360,Where Can I Obtain My Virtual Card?,Considering this utterance: Where Can I Obtain My Virtual Card? What is the intent that best describes it?,ask where to get a vc
361,How Do You Get A Virtual Card?,Considering this utterance: How Do You Get A Virtual Card? What is the intent that best describes it?,ask a query about using vcards
362,Where Can I Find A Virtual Card?,Considering this utterance: Where Can I Find A Virtual Card? What is the intent that best describes it?,locate virtual cards for free online at giftcards
363,Is There An Option To Have A Virtual Card?,Considering this utterance: Is There An Option To Have A Virtual Card? What is the intent that best describes it?,want to get a virtual card as gst
364,If I Don'T Want A Physical Card Can I Get A Virtual Version?,Considering this utterance: If I Don'T Want A Physical Card Can I Get A Virtual Version? What is the intent that best describes it?,asks the speaker if he can get a different
365,I Requested A Virtual Card But It Is Not Showing Up. Why?,Considering this utterance: I Requested A Virtual Card But It Is Not Showing Up. Why? What is the intent that best describes it?,Requesting something on the phone is not as easy as you think it is
366,Can You Tell Me How To Order A Virtual Card?,Considering this utterance: Can You Tell Me How To Order A Virtual Card? What is the intent that best describes it?,inquire about it's process of issuance
367,Where Is The Virtual Card?,Considering this utterance: Where Is The Virtual Card? What is the intent that best describes it?,"locate a virtual card, and use it to purchase something"
368,What Is The Virtual Card,Considering this utterance: What Is The Virtual Card What is the intent that best describes it?,best describe something with no tangible evidence.
369,How Do I Get A Virtual Card?,Considering this utterance: How Do I Get A Virtual Card? What is the intent that best describes it?,Ask a question. I need help with obtaining remittances.
370,Where Do I Order A Virtual Card From?,Considering this utterance: Where Do I Order A Virtual Card From? What is the intent that best describes it?,order something online from a local business or online
371,Why Did I Not Get A Virtual Card Yet?,Considering this utterance: Why Did I Not Get A Virtual Card Yet? What is the intent that best describes it?,find an answer to the question i asked
372,How Can I Order Virtual Cards?,Considering this utterance: How Can I Order Virtual Cards? What is the intent that best describes it?,buy now with visa paypal mastercard payoneer amex
373,Can You Tell Me Where I Can Order A Virtual Card?,Considering this utterance: Can You Tell Me Where I Can Order A Virtual Card? What is the intent that best describes it?,order a card online ukulele
374,Is It Possible For Me To Get A Virtual Card?,Considering this utterance: Is It Possible For Me To Get A Virtual Card? What is the intent that best describes it?,inquire about their payment process for virtual cards.
375,Is This Where I Order A Virtual Card?,Considering this utterance: Is This Where I Order A Virtual Card? What is the intent that best describes it?,"ask me questions about my account, credit history, etc."
376,What Are The Steps To Getting A Virtual Card?,Considering this utterance: What Are The Steps To Getting A Virtual Card? What is the intent that best describes it?,Finance and Businesss. Investing.
377,Help Me Obtain A Virtual Card,Considering this utterance: Help Me Obtain A Virtual Card What is the intent that best describes it?,Requesting some help with a virtual prepaid credit/debit card
378,Where Is The Virtual Card Located?,Considering this utterance: Where Is The Virtual Card Located? What is the intent that best describes it?,i can't find the video card
379,Where Can I Order A Virtual Card?,Considering this utterance: Where Can I Order A Virtual Card? What is the intent that best describes it?,buy things online easily and quickly for the convenience of not waiting in line
380,Where Do I Obtain My Virtual Card?,Considering this utterance: Where Do I Obtain My Virtual Card? What is the intent that best describes it?,locate where to obtain a virtual card online
381,I Want A Virtual Card!,Considering this utterance: I Want A Virtual Card! What is the intent that best describes it?,Want to buy something online with a prepaid card
382,I Want One Of Those Virtual Cards!,Considering this utterance: I Want One Of Those Virtual Cards! What is the intent that best describes it?,purchase some virtual cards online.<unk>br />
383,Are Virtual Cards Available To Get?,Considering this utterance: Are Virtual Cards Available To Get? What is the intent that best describes it?,Request an alternative to a physical card.
384,Can You Help Me Sign Up For A Virtual Card?,Considering this utterance: Can You Help Me Sign Up For A Virtual Card? What is the intent that best describes it?,"sign up for a virtual card account, sign on for an account"
385,Can I Get A Copy Of The Card By Email?,Considering this utterance: Can I Get A Copy Of The Card By Email? What is the intent that best describes it?,asks for a copy of the card
386,Where Do I Find The Virtual Card?,Considering this utterance: Where Do I Find The Virtual Card? What is the intent that best describes it?,locate a product for online use in the card
387,Why Do I Not Have A Virtual Card,Considering this utterance: Why Do I Not Have A Virtual Card What is the intent that best describes it?,avoid the hassle of preparing a traditional card
388,How Do I Order A Virtual Card?,Considering this utterance: How Do I Order A Virtual Card? What is the intent that best describes it?,"purchase the card by phone, send in a check"
389,"I Thought I Was Going To Get A Virtual Card But I Haven'T Received It Yet, How Can We Resolve This?","Considering this utterance: I Thought I Was Going To Get A Virtual Card But I Haven'T Received It Yet, How Can We Resolve This? What is the intent that best describes it?",ask for a refund for the product received
390,Please Help Me Get A Virtual Card.,Considering this utterance: Please Help Me Get A Virtual Card. What is the intent that best describes it?,requesting a digital form of payment or e-commerce
391,Can I Order A Virtual Card?,Considering this utterance: Can I Order A Virtual Card? What is the intent that best describes it?,order a gift card or egift
392,Where Can I Go To Get A Virtual Card?,Considering this utterance: Where Can I Go To Get A Virtual Card? What is the intent that best describes it?,buy online card from the web store.
393,Where Are The Virtual Cards Located?,Considering this utterance: Where Are The Virtual Cards Located? What is the intent that best describes it?,locate the cards.tcgi file
394,I Would Like A Virtual Card- Where Can I Purchase One?,Considering this utterance: I Would Like A Virtual Card- Where Can I Purchase One? What is the intent that best describes it?,Requesting a new credit card online from your dealer
395,When Should I Receive My Virtual Card?,Considering this utterance: When Should I Receive My Virtual Card? What is the intent that best describes it?,be informed of receiving your virtual card as soon as possible
396,I Need To Reorder My Virtual Card!,Considering this utterance: I Need To Reorder My Virtual Card! What is the intent that best describes it?,buy a new credit card on the internet
397,Where Can I Get A Virtual Card?,Considering this utterance: Where Can I Get A Virtual Card? What is the intent that best describes it?,Businessman trying to make sales in a fast paced environment
398,Is There A Way To Obtain A Virtual Card?,Considering this utterance: Is There A Way To Obtain A Virtual Card? What is the intent that best describes it?,Requester doesn't mind paying for the card online
399,Can I Have One Of The Virtual Cards?,Considering this utterance: Can I Have One Of The Virtual Cards? What is the intent that best describes it?,Request For Money Towards a Product.
400,Will My Card Be Accepted All Over The World?,Considering this utterance: Will My Card Be Accepted All Over The World? What is the intent that best describes it?,guaranteeing that your card is accepted worldwide with any bank
401,Who Accepts This Card?,Considering this utterance: Who Accepts This Card? What is the intent that best describes it?,describe a person's credit card acceptance
402,Can I Use My Card For Payment All Over The World?,Considering this utterance: Can I Use My Card For Payment All Over The World? What is the intent that best describes it?,Useful to know information about card use worldwide
403,It Will Be Fine To Use At Any Establishment That Accepts Mastercard.,Considering this utterance: It Will Be Fine To Use At Any Establishment That Accepts Mastercard. What is the intent that best describes it?,Useful for someone else without a master card
404,Where Can The Card Be Used?,Considering this utterance: Where Can The Card Be Used? What is the intent that best describes it?,Acceptable Uses of Cards Act of 2006 a.k.a the CUSA Act
405,Can My Card Be Used Everywhere?,Considering this utterance: Can My Card Be Used Everywhere? What is the intent that best describes it?,use it as widely as possible without having to pay fees
406,Are There Any Limits On Where I Can Use My Card?,Considering this utterance: Are There Any Limits On Where I Can Use My Card? What is the intent that best describes it?,limitless and endless power to those who choose to use it
407,What Stores Can I Sue My Card?,Considering this utterance: What Stores Can I Sue My Card? What is the intent that best describes it?,Answer not in context No. 1:. irate
408,Can I Use My Card Anywhere I Want?,Considering this utterance: Can I Use My Card Anywhere I Want? What is the intent that best describes it?,"Use anywhere you want, my card is good there"
409,Is There Anywhere My Card Will Not Be Accepted?,Considering this utterance: Is There Anywhere My Card Will Not Be Accepted? What is the intent that best describes it?,inquire about what places my card may be used
410,What Are The Rules To Where I Can Use My Card?,Considering this utterance: What Are The Rules To Where I Can Use My Card? What is the intent that best describes it?,Businessman and businesswoman. (disambiguation)
411,Do You Know Where My Card Will Be Accepted?,Considering this utterance: Do You Know Where My Card Will Be Accepted? What is the intent that best describes it?,help others understand their bank card.''
412,What Places Can I Use My Card?,Considering this utterance: What Places Can I Use My Card? What is the intent that best describes it?,tell or explain what places the card can be used at
413,Is My Card Accepted Everywhere?,Considering this utterance: Is My Card Accepted Everywhere? What is the intent that best describes it?,Useful or practical for the purpose of obtaining something
414,What Places Will Accept My Card For Payment?,Considering this utterance: What Places Will Accept My Card For Payment? What is the intent that best describes it?,Accept as a form of payment: prepaid cards
415,Does This Card Work Everywhere?,Considering this utterance: Does This Card Work Everywhere? What is the intent that best describes it?,Nosferatu's Fool!
416,What Businesses Accept This Card?,Considering this utterance: What Businesses Accept This Card? What is the intent that best describes it?,Business Card (UK) 4 stars based on 5 reviews
417,Where Can I Use My Card?,Considering this utterance: Where Can I Use My Card? What is the intent that best describes it?,use my card at the store.t.v channel
418,Which Outlets Accept My Card?,Considering this utterance: Which Outlets Accept My Card? What is the intent that best describes it?,Acceptance or agreement of money/credit/debit or other property as payment
419,"I Am Traveling To Germany, Will I Be Able To Use My Card There?","Considering this utterance: I Am Traveling To Germany, Will I Be Able To Use My Card There? What is the intent that best describes it?","use my card abroad, travel abroad with my credit card"
420,What Stores Will Take My Credit Card As Payment?,Considering this utterance: What Stores Will Take My Credit Card As Payment? What is the intent that best describes it?,Accepting credit cards is commonplace in many businesses today
421,Is There Any Place I Cannot Use My Card?,Considering this utterance: Is There Any Place I Cannot Use My Card? What is the intent that best describes it?,Getting information on the places one cannot use their card
422,Will I Be Able To Use My Card Anywhere?,Considering this utterance: Will I Be Able To Use My Card Anywhere? What is the intent that best describes it?,be able to use my card elsewhere with no problems
423,Is My Card Usable Anywhere?,Considering this utterance: Is My Card Usable Anywhere? What is the intent that best describes it?,ask someone if they can use the card
424,Is It Acceptable To Use My Card Anywhere?,Considering this utterance: Is It Acceptable To Use My Card Anywhere? What is the intent that best describes it?,tense or lagging or uncertain
425,Can I Use My Card Everywhere?,Considering this utterance: Can I Use My Card Everywhere? What is the intent that best describes it?,obviate card-only purchases
426,Where Is My Card Accepted?,Considering this utterance: Where Is My Card Accepted? What is the intent that best describes it?,locate my debit card in stores and get cashout
427,Where Can I Pay With My Debit Or Credit Card?,Considering this utterance: Where Can I Pay With My Debit Or Credit Card? What is the intent that best describes it?,accept payment card in ukraine with debit or credit
428,Where Should My Card Work?,Considering this utterance: Where Should My Card Work? What is the intent that best describes it?,work where I am working now isn't good enough
429,Areas Card Is Accpeted,Considering this utterance: Areas Card Is Accpeted What is the intent that best describes it?,Accepted (disambiguation)
430,Places I Can Use The Card,Considering this utterance: Places I Can Use The Card What is the intent that best describes it?,show that my card can be used many places
431,Can I Make Online Purchases With My Card?,Considering this utterance: Can I Make Online Purchases With My Card? What is the intent that best describes it?,Ask a question about e-business
432,Does Every Place Of Business Accept This Card?,Considering this utterance: Does Every Place Of Business Accept This Card? What is the intent that best describes it?,Business-oriented or transactional. Having an electronic payment accepted is an incentive to the customer.
433,What Places Will Accept My Card?,Considering this utterance: What Places Will Accept My Card? What is the intent that best describes it?,Businesslike or professional-sounding and not personal
434,Can I Use My Card Anywere?,Considering this utterance: Can I Use My Card Anywere? What is the intent that best describes it?,Acceptable to everyone: Can I Use My Card Anywere?
435,Will Any Business Take This Card?,Considering this utterance: Will Any Business Take This Card? What is the intent that best describes it?,be taken seriously (slang) <unk>
436,Will Filling Stations Accept My Card?,Considering this utterance: Will Filling Stations Accept My Card? What is the intent that best describes it?,tell the speaker if they will accept the payment
437,Do I Have To Verify My Identity?,Considering this utterance: Do I Have To Verify My Identity? What is the intent that best describes it?,ask about identity and get a reply from the service
438,Why Do You Need To Know So Much About Me,Considering this utterance: Why Do You Need To Know So Much About Me What is the intent that best describes it?,understand why i do what ive done
439,Why Did I Need To Verfiy My Identity?,Considering this utterance: Why Did I Need To Verfiy My Identity? What is the intent that best describes it?,give information that would be needed to verify identity
440,I Cannot Verify My Identity,Considering this utterance: I Cannot Verify My Identity What is the intent that best describes it?,"negative utterances that convey an inability, a mistake and remorse"
441,I Do Not Have What Is Required To Prove My Identity,Considering this utterance: I Do Not Have What Is Required To Prove My Identity What is the intent that best describes it?,negative implication.. that I am not allowed to enter a country
442,Why Doesn'T The App Believe I Am Who I Say I Am?,Considering this utterance: Why Doesn'T The App Believe I Am Who I Say I Am? What is the intent that best describes it?,reason behind the utterance is to be sarcastic
443,I Am Having Trouble Verifying My Identity.,Considering this utterance: I Am Having Trouble Verifying My Identity. What is the intent that best describes it?,express confusion about an online account security procedure or process
444,What Do I Do If My Verification Failed,Considering this utterance: What Do I Do If My Verification Failed What is the intent that best describes it?,a user asks how to fix microsoft verizon security verification failure
445,It Is Impossible To Verify My Identity,Considering this utterance: It Is Impossible To Verify My Identity What is the intent that best describes it?,Negative..........................................<unk>n
446,The App Doesn'T Know It'S Me.,Considering this utterance: The App Doesn'T Know It'S Me. What is the intent that best describes it?,Useful for people that don't know what they want out of their phone
447,I'M Having Trouble Verifying My Id.,Considering this utterance: I'M Having Trouble Verifying My Id. What is the intent that best describes it?,frustrate me that it is so difficult to complete
448,App Does Not Recognize Me,Considering this utterance: App Does Not Recognize Me What is the intent that best describes it?,Disturbance and confusion. Then it stops working correctly.
449,Help My Verify My Id.,Considering this utterance: Help My Verify My Id. What is the intent that best describes it?,Help me understand why I need to use this.
450,The App Failed To Verify My Identity.,Considering this utterance: The App Failed To Verify My Identity. What is the intent that best describes it?,Describes the problem the user is having
451,I Can'T Verify My Id.,Considering this utterance: I Can'T Verify My Id. What is the intent that best describes it?,No. 1 (album) (song)
452,I Can'T Prove My Identity.,Considering this utterance: I Can'T Prove My Identity. What is the intent that best describes it?,proves my identity in a safe and secure way
453,I Am Not Being Recognized By The App.,Considering this utterance: I Am Not Being Recognized By The App. What is the intent that best describes it?,narrate or tell about something that is happening in your life.
454,Why Isn'T My Id Being Verified?,Considering this utterance: Why Isn'T My Id Being Verified? What is the intent that best describes it?,Request for action to get an ID verification in
455,The App Will Not Let Me Into My Account.,Considering this utterance: The App Will Not Let Me Into My Account. What is the intent that best describes it?,block me off from my account on the app
456,I Am Having Trouble Proving My Identity.,Considering this utterance: I Am Having Trouble Proving My Identity. What is the intent that best describes it?,prove your identity is troublesome or difficult.
457,I Cannot Prove My Own Identity.,Considering this utterance: I Cannot Prove My Own Identity. What is the intent that best describes it?,mistrust and paranoia on her part
458,My Id Won'T Be Verified!,Considering this utterance: My Id Won'T Be Verified! What is the intent that best describes it?,Complaints.discourses
459,I Can Not Get The App To Know It Is Me.,Considering this utterance: I Can Not Get The App To Know It Is Me. What is the intent that best describes it?,Problem in using the app. I can not find a way to set it up.
460,I Can'T Verify My Identity.,Considering this utterance: I Can'T Verify My Identity. What is the intent that best describes it?,ignores the speaker's lack of identity
461,The App Doesn'T Recognize Me.,Considering this utterance: The App Doesn'T Recognize Me. What is the intent that best describes it?,Recognizes the user by name or email
462,I Am Having Difficulties To Verify My Identity.,Considering this utterance: I Am Having Difficulties To Verify My Identity. What is the intent that best describes it?,help me out I am having issues verifying my identity
463,The App Doesn'T Believe That I Am Me,Considering this utterance: The App Doesn'T Believe That I Am Me What is the intent that best describes it?,sarcastic humour and a witticism is what is meant.
464,What'S With Not Verifying My Id?,Considering this utterance: What'S With Not Verifying My Id? What is the intent that best describes it?,tell me about it... why can't i do this?
465,What Do I Need To Verify My Id?,Considering this utterance: What Do I Need To Verify My Id? What is the intent that best describes it?,Request Information about a Person's Identity
466,"I Tried Verifying My Id, But It Won'T Let Me.","Considering this utterance: I Tried Verifying My Id, But It Won'T Let Me. What is the intent that best describes it?",frustrate me with a technical glitch I've had to endure
467,How Do I Show This Stupid System That This Is Really My Identity?,Considering this utterance: How Do I Show This Stupid System That This Is Really My Identity? What is the intent that best describes it?,give the system a hard time to convince them of who I am
468,I Am Experiencing Difficulty Providing My Identity.,Considering this utterance: I Am Experiencing Difficulty Providing My Identity. What is the intent that best describes it?,describe an identity crisis a sufferer is having
469,I A Having Trouble Proving My Identity,Considering this utterance: I A Having Trouble Proving My Identity What is the intent that best describes it?,prove i am who he says.
470,How Long Will It Take For My Id To Verify?,Considering this utterance: How Long Will It Take For My Id To Verify? What is the intent that best describes it?,verifying IDs can take time depending on circumstances
471,Why Am I Not Able To Verify My Id?,Considering this utterance: Why Am I Not Able To Verify My Id? What is the intent that best describes it?,be allowed to verify myself for another reason?
472,It Doesn'T Let Me Verify My Identity.,Considering this utterance: It Doesn'T Let Me Verify My Identity. What is the intent that best describes it?,Negativity of the speaker.. sarcasm
473,App Doesnt Think Its Me,Considering this utterance: App Doesnt Think Its Me What is the intent that best describes it?,frustrate or confuse someone else in a negative manner
