,utterance,prompt,EleutherAI/gpt-j-6B
73,I Need My Card As Soon As Possible.,Considering this utterance: I Need My Card As Soon As Possible. What is the intent that best describes it?,"A: To receive money immediately
B: As fast as possible
C: Without delay
D: Immediately
E: Immediately and not sooner

I think D.
Why? Well, I had to think. B is not possible as it has no time component. And C is obviously incorrect as the need is without delay. Therefore, D or E, either. I have been taught, in this situation, to pick choice (c). I understand that the context clues in A and B are very different from C and D so I would probably be more inclined to choose B over A. However, C appears to mean the same thing as A (or even better) as both mean I want it to happen in the most positive way possible. This is why I feel that C or D is correct. 
Is there a reason why B or A would not be a valid answer? If not, why would it be chosen over C?   I know this is subjective, but what are your thoughts? Thank you in advance. Please let me know if any clarification is needed. Any insight is appreciated. Thanks. :)
Edit: A couple of comments have brought up that this question is a good example of the difference between a subjective and an objective question because B would seem to be the opposite meaning of A, that B means ""immediately, without a delay"" in a positive manner. Is that true? Or is A a better choice? I'm just wondering about this. Or, should I just accept C as a correct answer, given the fact that it is clearly what the author most wants, and if I can't explain why A or B isn't correct and explain that, then I should be happy with that? :) Thanks for the comments!
Thanks and happy holidays! :)  Cheers!  ~Sharon
P.S. To the OP: thank you for this great question. If you ever need some help explaining a concept, feel free to PM me. Cheerio! <3
Thank you both for your answers. It is very helpful. Now I see. Thank y'all! ;)
PS: You may be wondering why C.D. didn't get the point that you are both right, it only got me thinking for a while. The reason for me not agreeing is that in my mind, A means 'as soon as' while B"
74,I Need It Delivered By Saturday.,Considering this utterance: I Need It Delivered By Saturday. What is the intent that best describes it?,"Is it: “I really, really want this done..”..
“No one knows that I want it done’
Or:
The person saying it, feels the need or has the desire to get it.
It has been done, done well or will be done soon…? [A ‘done‘ that has a ”
sense of urgency‚ as in: it NEEDS to be completed before a deadline and has to
happen NOW. It cannot be put ’off-till‛ later].
OR
They want something. [Maybe they are not happy with what they have received]. They have to have it changed or made better or different. Perhaps something they had not thought or known about. Something they wanted or thought they would not like, they got and they want to change it.. or.. get different [maybe better]. or maybe they just wanted to see how it felt. Or.. maybe..they need something that is not available yet and is going to come. In other words, there is NEED and WANT.. and a sense of URGENCY. All these together make up the NEEDED and Wanted. This is a Needed and wanted by me, I really need this.. I don‰۪ want that… I need that now, before…, or just something, for the sake of.., whatever... So the person who says they need it is in some way expressing their needs, their wants. They are communicating their NEED. And in this case the Needing is urgent! I have not got my needs met yet. But what I do have is, the feeling of NEEDING. The need has an urgency that requires a response. (But, how often is urgency or time a part of the communication, especially today? And what we need, is it urgent? Can I say that about it?) This sense or urgency is part, of, what is needed and what someone says in, „I NEED,„ when they say it to you. ‚..I Need‌.. what do you need? Or I Want‮.. ‰ what is that you want?‬ This can be, and often it will, a way of asking what you are feeling, thinking about, needing now. Is it an emotional Need? Do we Need something?"
75,What'S The U.S. Delivery Time?,Considering this utterance: What'S The U.S. Delivery Time? What is the intent that best describes it?,"I believe it is:

""The delivery time of a delivery item is determined by your zip code. This information is used to optimize the ordering process and the delivery. We cannot guarantee a specific delivery date, even if the item was ordered before 12:00 PM CST on a Monday. In general, the order will be shipped within 1 working day but is not guaranteed. Items may be delivered Monday through Saturday and must be in your possession. Please be advised that in most cases, UPS will leave a phone notification if an item does not get there in a stipulated amount of time. It is up to the recipient to verify that they receive the package and that the contents are undamaged.""
*""Please note: Delivery dates are set based on your location's time zone. Our system uses UTC.""*
How does this compare to: The delivery method is UPS Ground. How do you want the products delivered? UPS Next Day Air. Which one best fits your intent?
Also, what if I want it to say: *""Delivery times are subject to change without notice""* I would like an explanation on how this is possible.
I have also had a situation where the product delivered was the wrong one. I received two different product that were supposed to be one item. The order total was not changed, so how did they know to give the right item without knowing my phone number? It was a small error, but there was no way for my recipient know what I wanted when the person rang the doorbell without being sure. My order is set up with a tracking number which was used, in this case, to help them. 
Is there anything I can do to reduce errors in my shipment? Would it be best if these issues were resolved directly with the shipping company or with Amazon customer service?"
76,When Will My Card Arrive?,Considering this utterance: When Will My Card Arrive? What is the intent that best describes it?,"A:
> I am wondering whether it is possible to use the card reader to read my
  bank statement at a store.
B: Sure, why not? That won't cost you anything. Just buy the credit
credentials and you're in. (I was thinking about using it when I get my monthly statement, but you could probably also use it at the store.)
The answer is: (0,0).
Intent (what was the speaker's goal when they said the utterances?): (1,3). They intended to get their monthly bank statements from the mail at home. They wanted that information because they were expecting it. This makes the answer: B."
77,Can I Choose A Date For Delivery?,Considering this utterance: Can I Choose A Date For Delivery? What is the intent that best describes it?,"A) I have no control over the scheduling of the delivery.B) The dates that I choose are for the purpose of delivering the order.C) You are free to select the dates for delivery within reason, provided the items are in good condition.D) There is no delivery date that we are responsible for.E) We will make every effort to meet the requested delivery dates.F) Delivery dates are not set in stone.G) Your dates will be honored.H) No, there is only one delivery time, which you can choose.
The correct answer, E, is a common error made by the English Language Learner when learning the vocabulary that is used to describe the language. E is incorrect because no dates and dates in general are included as part of an “offer”. ‘No date chosen’ and ’You will honor dates‘ are correct, as are ” You can pick a delivery day, subject to the condition that my items will fit into your vehicle.“, „I agree to all dates chosen by you, and I will take responsibility for any damage caused by your choice‚„ and even ‚You are under no obligation to honor the agreed dates, but I hope you will!‛ These are all appropriate ways to use the noun ‗date‹ in the common sense sense. However, the best choice of all, in this case, to express the same idea, would be ›I have a definite delivery requirement for my goods›."
78,Can I Make Sure My Card Is Delivered On A Specific Day?,Considering this utterance: Can I Make Sure My Card Is Delivered On A Specific Day? What is the intent that best describes it?,"1. I would like to be informed when my card will arrive.
2. The card should be delivered before Tuesday. It is already past Saturday. Is this acceptable? How could I improve it to make it more specific?  
I have looked it up with the synonymizer. None of the suggestions seemed appropriate.  Is there an appropriate synonyms for ""to deliver"" to improve clarity? Is my first example correct? What else could make things clearer? Or am I missing any better synonymous words? This is a question for a technical writer. Please feel free to edit my question. Thanks!

A:
*I will be happy to receive my order on a particular day. [=I want to know when the order is ready to pick up.]
You have the idea right. *I would be pleased to have my orders on time is also OK."
79,Can I Have It Be Delivered At A Certain Time?,Considering this utterance: Can I Have It Be Delivered At A Certain Time? What is the intent that best describes it?,"For me, ""Can I have what be delivered at a certain time."" seems to be a better representation than simply ""can I deliver"".

As a native English speaker, this is probably not that much of an issue, but I wonder if it is possible to have such ambiguity even in an English translation?
–
J.R.May 13 '11 at 9:53
Reply
Report
OP's original: What does ""What is it that"" mean here? It is not the subject of the sentence. So, I guess ""what"" is used to mean ""which"". But, is that what it actually means or is there some other meaning? Can you please explain? Thank you.
—
Dale May 13 at 18:54
Comment
Share
More
Karen C. Evans said:
Hi Dale,
I think the ""something"" in the question means ""a thing (of value)"" or ""the thing in question"", or something of that sort. The question is really about whether the person can be trusted or not, and ""I can"" (as in 'I will') is a very good answer here. ""The thing is"" or 'the matter is' would also work (I don't think there's any difference in meaning). ""Could be"" would work as well, too, if this sentence is being used in a way that implies that ""thing"" can't possibly be ""delivered"" at the specified time. If so, it could be translated as follows: ""Will this be possible?"" - or perhaps, as suggested, with any uncertainty or doubt included: 'Couldn't it be that..?""
Cheers, Karen
You need to remember that English is highly dependent on context for its interpretation and many of its nuances. In this case, the context is pretty clear. It’s an expression used by a person who feels that they have the ability to do what they are asking about. I think that is where the ambiguity lies. But then, maybe that‘s why the answer is good, isn“t it. :)
(As the above is only an interpretation of what may be meant, perhaps you could elaborate on what you mean by ""This utterances: [...]"" and how you can distinguish it from the OP's initial sentence.)
- - -
Edit"
80,I'Ve Tried My Card A Bunch Of Times And It Never Worked.,Considering this utterance: I'Ve Tried My Card A Bunch Of Times And It Never Worked. What is the intent that best describes it?,What is your understanding of this sentence? What can be done with this in English? How would you describe the speaker’s understanding about what kind of intent is behind it (if this is even a question!)? Do you agree with the statement and how are you going to explain the ‘bunch” to the natives of the target language?
81,I Can'T Get My Card To Work.,Considering this utterance: I Can'T Get My Card To Work. What is the intent that best describes it?,"""I Can't Get my Card to work"" = I tried to use one of the services and I keep getting errors.
I'm not sure if you are trying to describe ""I am not using a card that I know how to operate. I need help from someone else"" or if your trying describe the opposite meaning, that this card was working perfectly but now it is broken? In either of those cases the correct phrasing would be ""The card does not work anymore""
If you want to get a little more specific you could say, ""My card doesn't work with this phone network"". In that particular case, you're trying make a claim about the phone company, not the card."
82,My Card Appears To Be Broken How Can I Fix It?,Considering this utterance: My Card Appears To Be Broken How Can I Fix It? What is the intent that best describes it?,"Is it the author or speaker who is speaking of this card? It's not the card.
It's the speaker!
My Card Appeared To."
83,How Do I Know Why My Card Isn'T Working?,Considering this utterance: How Do I Know Why My Card Isn'T Working? What is the intent that best describes it?,"A:
*The intent of your utterances are: Do my card work? Is my internet problem real? Or
Is it just my imagination?*
The utterant who asked that question is asking for you to know whether something is real. This could be anything. But I think it's likely the internet connection problems. The word'real' implies that this is true or the connection is working. That's also what is meant when asking ""is the problem with my computer or my browser""."
84,My Card Broke.,Considering this utterance: My Card Broke. What is the intent that best describes it?,"My Card has broken...
I am having an emergency.
The cash machine card has been stolen. (informant #2)
We can't get money from the ATM. We broke my card..
This card broke. He can’t use it to get anything.   (My dad) 
He broke the card. It won't work (his card.)"
85,My Card Won'T Work.,Considering this utterance: My Card Won'T Work. What is the intent that best describes it?,"A) I won’t be able to use my new credit card.B) My new card won't pay off my credit.C) The card number that I used won' t be on this new version of the card.( D) It won ’ t work for me.( F) This card is not mine.
I have been given the following answers:
1) A)
2) B) C) D)( G) F
The question is: What one of those answers would be the most grammatical answer?"
86,Why Is My Card Not Working?,Considering this utterance: Why Is My Card Not Working? What is the intent that best describes it?,"Why does he think his card is not working? He must have lost his wallet. If he thinks his credit card will not work, this is an example of cognitive impairment. He does not have his money and he does think the credit cards that are in the wallet will work.

How can we use this knowledge of how people communicate to help them communicate more easily with others?
A good starting place might be to understand how we are communicating now and how that is similar or different from other communication methods that we have employed in other parts of our lives. Are we being clear with ourselves as well as with each other?"
87,Can You Please Identify The Problem With My Bank Card?,Considering this utterance: Can You Please Identify The Problem With My Bank Card? What is the intent that best describes it?,"If we were to use an algorithm on the uttering of this sentence it would be ‘request to identify the problem’ or “I”m having a problem with my bank“. This utternce could be rephrased as: I need help with a bank problem.

This kind of utterances or text is commonly referred to as being informational, as this is an informative utter, which can be found in many conversational data. Informational texts are common in everyday conversation between friends and colleagues, but also during conversations on social media, like Facebook. We will talk a little about social-media data and how such data can help us to improve our understanding of the way people interact in society. However, we first need to look at how we can find the Informative utter:
As mentioned above, to do so, let us first look into the meaning of Inform and Informate. Wikipedia states: Inform is a transitive verb meaning ” to give information to …„ or in a more colloquial way, „ to tell‟. Information is also transmissive, meaning: To inform somebody, something or someone is to pass on some kind or information. The verb inflects, and the past tense form of inform is informé. In the present tense you can informer, informè. All forms can also be combined, for example, a person can simultaneously inform and inform about something. ‏
The ‚to‘ of ‬inform is optional in English, however we tend to leave it out when inform-ing someone about a topic, therefore the sentence could have the same meaning without it. It seems, the verb to inform also carries along the information, that a request is involved. To ‖in‗form a group of people, or to ‡‖form‬ the intention, you will most often use the word †ask‡. Here is how you could ask someone to form the ‪information‫ of who has the credit card that you need. You could also use, ask for ․the information on․ a company, product, topic. When asking for information of a product it sounds like, can you please tell me the cost of your new laptop?
We now understand, how to find Inform-ative- utterings, by looking at the"
88,How Do I Unblock My Card Using The App?,Considering this utterance: How Do I Unblock My Card Using The App? What is the intent that best describes it?,"The utterances are extracted from our corpus of real world conversations using two different models: A generative model and a discriminative approach. Both models were used to extract utterences and their associated entities, as well as their intent.
It is assumed that the utterment “How do I unblock my card using the app?” is extracted by a human speaker, who has already described the goal of his interaction with her own words. This is a simple model that assumes that if the words (“app’s user‘s words„) are the same as „How‟, and all of them are present in the corpus, we can safely assume a high confidence that it is describing the exact same goal. The model is built upon the ‘How does it work?` uttermeant extracted with the generatve approach and is trained to recognise the different intents of the sentences extracted."
89,My Card Does Not Work,Considering this utterance: My Card Does Not Work What is the intent that best describes it?,"To be honest, I didn't think it was possible to answer this question, and even with some research I was still stuck.
So I started to type this post, hoping to be able to find some answer by the time I finished typing.  
And after typing about 30 words into this, suddenly came to the conclusion ""Oh, this is easy!""
The intent was to convey that someone (possibly me, but more likely someone else) had been working with a card reader for a few months, has the card, knows what it is, what brand (or other details) it has, etc. and it just doesn't work. I'm aware that I could just say ""It doesn’t work,"" which is what I would normally do. However I'd appreciate it if there is also some context around my use of ""My Card Doesn't Work.""
In addition, the answer would be different for each individual reader of the sentence. That is they may think that ""I"" am talking about myself with the use ""my"" or that it could also be somebody they know with ""card"", etc., which in turn would lead to different responses. If that was the case for the OP, he would have said ""Card doesn's work."" I don't have a specific situation I am currently working on so I used my example to try to figure out which answer is most appropriate here. But as I said, it doesn' matter what is written here: there will be someone reading this who thinks the way I did about it, so my answer may not be what you think is correct. It can only be useful to those who already think the same way that is asked about.

 So to make this a bit more clear I will add this picture:
A, B, C are different ways of interpreting/answering the question. There is no right answer because we all will give different answers, depending on our personal views about things. My point is that the best possible answer for this situation (according to you) is A. For example, if you answered A and later you decided that D is better, you would still be doing exactly the right thing, as you wouldn't be changing the meaning. In the end, all of us will agree with our answers and I hope all answers here will make sense at the moment they are being written. And we will not change our answer later"
90,How Can I Get My Physical Card To Work?,Considering this utterance: How Can I Get My Physical Card To Work? What is the intent that best describes it?,"Is it: a) To inform or inform me that my physical card will not be accepted at the time? b) How I can get that card to work for the day?

A:
(a): I'm pretty sure my question was just ""Can I get my old physical atm card into the new system (ATM-E) that is being installed?""
But then a couple of other people were answering me saying that ATM's aren't going to be supported anymore in the near future.
That's when I decided that it was ""information"" that I wanted to know, not ""help"" (b):)"
91,Can Someone Assist Me By Explaining Why My Card Is Not Working?,Considering this utterance: Can Someone Assist Me By Explaining Why My Card Is Not Working? What is the intent that best describes it?,"A
Intent:
Knowledge
Action: Explain why my card is not
Working (verb)
What are the steps required to perform this action? What would be the
consequence of someone performing these steps? This will help you to understand the context of this sentence and the meaning of the sentence.
""I
wonder if anyone can help me. Please explain why a card that I have used
for years is suddenly not recognizing my signature. How do I fix it?""
-
Someone
(Person/People/Body) ""I wonder if
you can explain to me why that mycard is
not working""
?- Person/body ""Can someone explain
to me
why my
car isnot
working? How can I fixed it"" / ""What kind of
problem is this""?/ ""How does it relate to my car?""/"" I am
waiting to hear your answer!""/
“I don’t really understand why this
happened. Can you tell me how can i
fix it”- “Someone please tell
me how to do it.„Can you help my fix
my problem?‖‘I need some help please. I can‟t find out
how to fix this‚‛"" - ""Please tell"" or
help me to solve this problem"".
B
Conversational
Example: Why is it so difficult to communicate between two different nationalities?"
92,Help Me.  My Card Doesn'T Work.,Considering this utterance: Help Me.  My Card Doesn'T Work. What is the intent that best describes it?,"Help Me - I want help to repair the malfunction.
I have a malfunction
My card doesn't work. I'm having a problem. (The card is not working).
The problem with the card. The malfunction is on the (the card).  I am having problems with it. It doesn' work (it's malfunctioning). How can I get it to work? (repair the error). It' a computer problem, it is malfunctioned. My card isn't functioning. Help me get my card to function."
93,Can A Card Stop Working?,Considering this utterance: Can A Card Stop Working? What is the intent that best describes it?,"Is it:
It is true that if I buy a card for you, it will stop working? If so, how do I get it to work again? This means it's not a simple truth or opinion. Or maybe it is: ""I will pay it forward.""
I don't know.
So what is it, I'd love to know the answer to this question, because I want to share this with everyone and see if they also can't tell what the correct answer is. (And no. I don.t have a t-shirt that says 'the correct' answer on it. So don' t get in touch with me).
You're probably wondering why I'm asking this. Well, a lot of my friends and family have said to just send their cards back to them. But that is not so great. And I also need the cards to be functional again. They are not working. It's a problem I need to solve. Which means I have to figure out a different way to use the card or make it work. 
(In fact, some time later I had a similar problem. My card stopped working, and then I found out why. There was a small flaw in the magnetic stripe on the back of the credit card, not the plastic, so even though I got a new plastic card back, my number and everything else on my back was still visible, which was kind of a pain.)
And I do want the original card to still work too, even if just to make sure I know how to repair it and so we can use it again sometime. Just in case there is a future problem for whatever reason. That's why this matters. Otherwise, you'd just get a bunch of cards that are unusable (and then you have that big box of them, right next to your old one).  So yeah, that's what this is about. :)
Thanks for reading. Feel free to tell me I should be ashamed of this whole thing and that I've lost my damn mind or something. This is just what we do around here. ;)
Also, feel free for any additional clarification. Like I said, this may be a difficult question for some to understand. Thanks, as always, for the help. If you could give me some idea what direction to go with this, or even what to change or add, thanks a million."
94,I Think My Card Is Broken,Considering this utterance: I Think My Card Is Broken What is the intent that best describes it?,"I believe he is stating a fact and he will state a hypothesis. He will present evidence to the fact he states and evidence for his hypothesis that he presents. This is a common approach taken by people to explain things.
A hypothesis, by definition, is an educated guess. It is based on a statement or evidence of the truth of a premise (the fact).
If you think that your card is broken, that is not a claim that you believe, you are stating that the evidence presented to you (your card) by another person is evidence that they are wrong. If the other person was wrong then you were right. You are claiming that this evidence supports the premise in order to convince them. 
In the sentence, he did not explicitly state that his claim is in the form (I think my card IS broken). His claim could be in this form:
This card was working when I last used it, this is now a different card and the way that it is acting is unusual and unusual to me, therefore the previous card must be broken."
95,Why Isn'T My Card Working?,Considering this utterance: Why Isn'T My Card Working? What is the intent that best describes it?,"I'd like to know how people would describe this. Is it more like ""Why Doesn't This Card Work?"". 
It could help if I could find some kind of rule, or a way to decide if the phrase is grammatically correct. I'm not looking to make this a tag; but I'd be interested in knowing how it's perceived.
My personal view is that this is wrong, and that you should use a different phrasing - but that's not universal, nor is it a question with universal consensus."
96,My Card Isn'T Working Anymore.,Considering this utterance: My Card Isn'T Working Anymore. What is the intent that best describes it?,"I would think the best interpretation would be ""I'm sorry, I have lost my card...""
However, my interpretation of the sentence could be different. I could think about the utterances as the following:
""I have been using my old credit card""
or 
""...I used my credit to my new credit (card)..."".
Which is better? The first one, or the second one? Why? Is it because I can infer the first from the 2nd? If so, in what situations would I use one over the other? Also, why? (I am not very good at describing why things are the way they are...so please elaborate!).
Please help me. Please!
Thanks.   (:D)
*NOTE: I am aware of this thread. However, the question is different because we are trying to find the ""best"" translation of a phrase. In this case, if there is a better interpretation, we want to know why we choose them and/or how to use each one (as opposed to trying the phrase in various contexts)..  :)
UPDATE:  I want it to have 2 meanings, one literal and one metaphorical. This literal, ""the card has expired"", is more commonly used in the U.S., and so I would like to be able to say: ""My card expired"" = ""The money has run out"", but I don't have the card for the credit anymore or ""This credit is no longer valid"" in some sort of metaphoric way (i.e., it is just a card of credit, a credit that doesn't exist because it's no more valid/active).
So in other words, this is for an online game, and it would have a button saying, something like, ""...the account has lost the ability to make charges.""
(And to think it all came from a joke of ""Do you still have your old cards?"") Thanks again! I truly appreciate it if I get a response (in this forum or elsewhere)!
Thank you all! :)  *Hugs*
  :D
P.D. If you think what I asked for is confusing, then please tell me why! (Or, please correct any confusion). Or, give me more clarification for this question. :) Thanks. (P/s: If what you are thinking"
97,My Card Was Declined Today When Eating And I Need To Know What'S Wrong.,Considering this utterance: My Card Was Declined Today When Eating And I Need To Know What'S Wrong. What is the intent that best describes it?,"If you are in the UK, do not use your credit/debit card at a cash machine, but instead go to a store for your £ amount and take one or two of the cash out of one of your debit cards/credit cards with the same name (and keep the receipt).
Use the remaining cash to pay.
The cash you take out should be your ""cash equivalent"" for that transaction.  This is an anti fraud device."
98,My Card Doesn'T Work.,Considering this utterance: My Card Doesn'T Work. What is the intent that best describes it?,"I'm not talking about this being a typo. I am talking more about why someone may write this. Here is a sample of the sentence from a customer service call.

""I'm sorry for the inconvenience. The credit card that was given to you yesterday doesn't work. It looks like the wrong card was placed on us.""
If my goal in this question is to discover intent, why should it matter? If the person in the call center was trying to be nice, I guess they didn't think of asking the customer about the reason why the card doesn't work, or maybe they just didn' t care or didn'.t want to care. Why would you need such information? What do you think would matter if the statement was ""The card you have on file doesn`t works?"" Does it change how you would perceive the message?
I've read ""how do I"" questions and they were helpful. This question was more in-depth than that. My intention in asking this was to find someone who would be able to answer ""why."" 
My second thought is that, if one person has a reason for what the other does, that is more important than ""How do"" I. Would you consider my question off-topic? Can I use google and find the answer?   I think the intention is just a little deeper than I thought!
EDIT:
The question should really be ""Why don'?""  It is much more interesting than the why, because it opens up many more questions.  My question has been updated. Thanks for everyone's feedback!  Thanks again  :)  -Ethan
  @SpencerB
This is my first question. Thank you all for your patience. - Ethan"
99,How Can I Resolve A Problem Where My Card Won'T Go Through At All?,Considering this utterance: How Can I Resolve A Problem Where My Card Won'T Go Through At All? What is the intent that best describes it?,"A:
dictionary.com
It means ""How can I get rid of this annoying situation.""
Example: I really hate when you can't call me until 11 o'clock, but I don't want to leave messages. How can i get out of the problem
The phrase ""Can I resolve a problem"" means to ""What is it about that problem I can fix, or how can that situation be avoided?"" 
For example: Can i fix your computer?"
100,My Actual Card Isn'T Working.,Considering this utterance: My Actual Card Isn'T Working. What is the intent that best describes it?,"If your intent isn't obvious, you need to be more explicit. The best way is to put your focus on the other person's understanding (in this case, the one whose ""card"" isn' working).
For example: ""Hey, I'm having trouble with my actual card. I just used my other card, so I don't know how that's going to work out.""
Note, a card is used here as a metaphor for a debit/credit card (that is, something you use in order to purchase something). Your use of the actual word card has an extra, implicit meaning and so does not make sense.
In this way, ""My actual bank card isn´t working"" is an example of what you might call a ""metaphorically true"" sentence, where the literal meaning is somewhat misleading. (This also has implications for your sentence structure: The word ""actual"" implies something that is not actually true. You might reword this to something along the lines of:
""The bank (or my current financial situation) won´ t let me use this debit card right now, but I´ve got another one."""
101,Is My Card Broken?,Considering this utterance: Is My Card Broken? What is the intent that best describes it?,"Is it trying to imply that it could possibly be broken by the end of the year? Or is it just asking out loud for someone with a little more knowledge than he has to inform him if it is broken, or just a friendly expression for the people of his card making community.

It depends on several factors. Some people say that their card is ""broken"" to simply express that its performance isn't what they expected. If I'm not mistaken they usually are referring to the fact that the image on the card did not turn out in the intended way. But even then it doesn't always mean that a card will not function at all. It's up to your imagination. In the case of my broken car, I was talking about a car with no engine that runs on a motor in a garage, a real car. (A car that isn´t really broken but just needs a new fuel, in this case)
The card might be made with very poor quality ink or paper or even with ink that is not compatible with the paper. This can affect the appearance of a print. And a poor print is definitely something a ""card maker"" should take care of, by printing a replacement card."
102,I Broke My Card,Considering this utterance: I Broke My Card What is the intent that best describes it?,"To communicate something important? Or do you just want to tell your audience, hey, look, I just broke my card. If the purpose is to communicate it's not clear. You can also tell them:

I broke a card and the person who has the broken card is going to give you your money back.
Or I broke one of your cards and I will reimburse you."
103,My Card Stopped Working,Considering this utterance: My Card Stopped Working What is the intent that best describes it?,"(I am not interested in answers that rely on an English language dictionary)
To be more specific, the following utterances are in the same context:

The machine ate my card
I ate the machine with my bare hands.
My computer froze and now I can't use it, my computer is dead. My computer was frozen. Is it dead? Does it need to be rebooted? Is there a way to save the work I did on the computer before it froze so i could save my work off a disc? Can I save it to a flash drive? What? (I can tell you it was working fine until I had to go to sleep, and then it just suddenly stopped working without telling me why)  
...and the list goes on.  Please help me identify what best fits for each. Thank you. ^_^!!!
Edit: Some people have suggested that the sentence with the card is in present tense, while the other two sentences with computer and computer are past tense. I am unsure where this comes from or if they are truly different tense forms of the sentences above. If you disagree, please state why. Thanks. ;)
Update: I've found that this is a question that has been asked several times before. See this question, this one, or this. Unfortunately the answers there do not satisfy my needs as I have not found a single good answer. However, that doesn't mean there isn't a good one out there somewhere. Anyways, I hope my question has now been sufficiently answered :) Thank y'all for your help. :)
Oh, one last thing, a couple of people suggested the words ""was working"" could be used as it's own verb on its own and not in conjunction with cards (ie, ""I was just using the Internet."")  I don't agree with this as the context of all of my utterences is ""card."" I guess I should add: ""My card was still working until..."" to the utterings above, but I'm thinking it doesn' have to and would probably be a distraction from the original question and its intended context. So I will just ignore this suggestion. Okay, now my head's just spinning with all the ideas and information I just got here. It's great!
Thank you again! ^^
Additional update: It appears that people still believe that ""the card stopped"" is an"
104,"My Card Is Broke, What Do I Do?","Considering this utterance: My Card Is Broke, What Do I Do? What is the intent that best describes it?","A. To make you ask questions
B. to tell you how to do it yourself? (and if you follow my directions, your card would not ""be"" broke)
C. a simple warning
D. an insult
E. I could not care less about your ""card being broke"", and I certainly do not want to waste my time and my attention with your trivial complaint.
I would think E. was the best answer, because the uttering of ""I cannot care about it anymore"" is a statement of complete indifference, not a request or complaint (which might be why I chose E.)
The ""intent"" or the ""mood"" that I am trying to convey is this: I cannot be bothered. (I am not really angry. But you may assume that a ""broken card"" means I lost some money and now must spend more to make it right.) And I do want a warning or suggestion. You see, I don't want you to lose what I have spent on the card, but I still need to have an explanation of how I can get a replacement. The utterances in (A) and (B) are just silly (as in ""why would I bother with that?"") I would never say that in reality. E, in its original meaning, means ""don't care"", not, ""you are wasting my/ your time"".
My question is, when one utter the phrase, what is its meaning? I guess it comes from the context of the situation, which is important, as you see. Please correct me if I'm wrong. Thank you. 
EDIT: It seems that (C), in the sense of an instruction, should also have been given at least a mention. This was not the case, hence my question. However, (E) (in the original, and not in my example), has a meaning of indifference. In reality, if the speaker does not give any further clue, it is hard to figure what the real intent of (the speech) was. It is also a good example of irony. So my ""further question"" (sorry) is: why did that expression not appear in your answers? It would have helped. Thanks!
ADDENDUM:
If this is not allowed, please let me know. Otherwise, here is another example (of a similar type):"
105,"I Tried Using My Card Today And It'S Not Working, Can You Help Me?","Considering this utterance: I Tried Using My Card Today And It'S Not Working, Can You Help Me? What is the intent that best describes it?","The uttering is:
It can be interpreted in a number of ways such as: 1. The person tried using his credit card and it is not working. 2. I did not use my card today. 3. Using my credit...

How do I say I'm sorry in German? Is ""ich bedanke mich"" right?
I want to say: ""I am sorry."" How do you say it in proper German. Is the ""bedanking"" the proper way to do it, or does it have to be in the form of the full sentence ""Das tue ich mir dank""? It seems like the word 'bedanken' is a very common word in English and..."
106,My Card Stopped Working When I Use It,Considering this utterance: My Card Stopped Working When I Use It What is the intent that best describes it?,"A

A 1.4
1.2
0.3
2.6
-
3.9
6.0
9.1
10.8
11.7
13.5
15.01
19.11
20.14
22.09
23.04
24.00
26.98
29.95
31.91
33.88
35.85
37.81
40.75
42.68
45.62
49.55
51.47
53.44
57.39
60.35
62.32
64.29
66.27
68.24
70.23
72.22
74.21
76.20
78.19
80.18
82.17
84.16
86.15
88.13
90.12
92.10
94.08
96.07
98.05
100.02
102.000
104.999
108.008
110.015
111.020
112.025
114.030
116.040
118.050
120.060
122.070
124.080
126.090
128.100
130.110
132.120
134.130
136.140
138.150
140.160
142.170
144.180
146.190
148.200
150.210
152.220
154.230
155.240
157.250
158.560
159.860
161.370
162.910
166.380
167.930
169.430
171.540
173.710
174.980
177.280
178.820
180.340
181.880
182.900
185.400
187.840
189.940
191.010
192.420
194.740
197.300
199.920
201.660
203.700
205.960
208.810
210.620
212.480
214.260
216.320
218.440
220.590
222.610
224.680
226.760
228.670
230.550
232.410
234.570
236.690
238."
107,I Can'T Use My Card.,Considering this utterance: I Can'T Use My Card. What is the intent that best describes it?,"If you've ever been stopped by a police officer after buying a $2 cup of coffee...
...I Can't Use my Card at this Time...is the best way to let him know.
The officer is trying to help you...and he knows that you have a problem with your card. He's trying not to make a mistake, he doesn't know if you are trying it on or if it's real. If you don't answer honestly and he sees that card in your wallet and that it was used to buy that cup...he might call in to find out the truth."
