,utterance,prompt,bigscience/T0pp
228,Can You Unblock My Pin After Too Many Wrong Pin Attempts?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,describe someone's needs/wants.
229,What Can You Do To Unblock My Pin?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Ask for help for the pin code. Get help
230,"My Pin Is Blocked, What Do I Do?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,What Do I do about my pin block?
231,Can I Reactivate My Pin?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask for it to be reactivated
232,How Do I Reset My Pin?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,reset your Pin code on the card reader using the online or over the phone instructions
233,Can I Unblock My Pin?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask for assistance from someone in a position of authority
234,How Do I Unblock My Pin?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"enter the pin and click on the "" unblock "" button"
235,"My Card'S Frozen, What Can I Do?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Problem-solving questions to ask an IT specialist
236,How Can I Unlock The Pin?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,questioning to find the answer or to ask for help
237,"Since My Pin Is Blocked, Would You Help Me Unblock It?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Help to others unblock their pins.
238,My Pin Is Not Working And I Need Assistance.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,i need help with this pin please respond
239,Where Can I Get My Pin Unblocked?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express anger or disgust at someone or something in a non-judgmental way that will not offend
240,Are Contactless Payments Enabled On My New Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,enable contactless payments on my new card.
241,My Contanctless Has Stopped Working,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Shockingly bad news from a phone
242,What Is Required Documents For New Card Process ?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Request a replacement debit card from your bank
243,"I Don'T Know What'S Wrong, My Contactless Stopped Working. Tried It In A Few Different Places Today And It Didn'T Work In Any Of Them.",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,annoyance or frustration with failures
244,How Do I Get The Contactless Feature To Work For My Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Worked previously for my card. I need to do this again with my new card
245,I Tried To Pay Contactless At The Bus Today And It Didn'T Work. Any Ideas Why?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express the reason they ask the question..
246,I'Ve Been Unable To Pay Contactless With My Card For Over A Week Now. Is There A Way To Fix This Issue?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Fixing this issue would take a few minutes.
247,Do You Know Why My Contactless Won'T Work?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,work of a horologist examining sperm
248,My Contactless Payments Have Not Been Completed Successfully.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Paying by contactless card does not always work for every merchant.
249,Do I Need To Replace My Card If It Didn'T Work When I Tried To Pay Contactless At The Shop Today?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask your bank to replace it with a new one
250,For Some Reason My Contactless Has Stopped Working. I Don'T Know What The Problem Is. What Can I Do?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,find out what the problem is and solve it
251,"I Couldn'T Use My Contactless This Morning, It Wasn'T Accepted.",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,reason for not being able to use it
252,Contactless Isn'T Working For Me,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Work isn't going right for me
253,Why Wouldn'T The Contactless Payment Work When I Tried To Pay At The Bus Today?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,explain to someone why something was not working as expected
254,How Do I Check My Security Settings To Allow Contactless Pay?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"Allow me to help you. (followed by "" then "")"
255,What Can I Do If Contactless Doesn'T Work?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,use a credit card if necessary instead
256,Fix My Contactless,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,fix my contactless card reader broken samsung galaxy
257,How Can I Make My Contactless Work For The Metro?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Work for me! :) (insert favorite swearword/dismissive gesture here)
258,My Contactless Is Not Working,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,upset with what happened? :-(
259,Can You Help My Fix My Contactless?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask for help fixing a device or device
260,For Some Reason My Contactless Won'T Work For Me.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Work is an issue with a credit card.
261,I'M Unable To Use Contactless Payments For Purchases.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express indignation or frustration at a problem or situation
262,"When I Tried To Pay For My Bus Ride, The Contactless Payment Wouldn'T Work. How Can I Prevent This In The Future?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Use a card for payment instead of relying on contactless payment in your pocket
263,The Nfc Payment Wouldn'T Work On The Bus Today. Help?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Use the Nfc payment at the restaurant.
264,"I Wanted To Use My Card Contactless But It Doesn'T Seem To Be Working, What Could Be The Problem?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,use my card contactless without a pin
265,How Do I Make Contactless Work,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Computers and Electronics question and answer site
266,What Is The Charges For New Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,describe the charges for the new card clearly and
267,The Contactless I Have Won'T Work.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express annoyance at a situation
268,Why Isn'T My Contactless Not Working?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,reason why i amn't using it
269,I Wanted To Use My Contactless At The Metro Today But It Didn'T Accept It!,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Pay at an automated machine without having to input numbers or swipe a card
270,It Didnt Work When I Tried To Pay Contactless At The Bus Today. Why?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,work didn't come easy today for me
271,I Am Not Able To Do Contactless.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"expresses a strong dislike of the device,"
272,How Do I Use Contactless Payments?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,help others to learn about contactless payment system
273,Help Me With My Contactless Which Isn'T Working.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,help with my contactless which isn't working
274,How Can I Fix A Problem Where Contactless Isn'T Working?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Fix it! or How to? is my favorite
275,How Do I Use Contactless Pay?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,use of contactless payment cards at the point-of-sale
276,How Do I Enable Contactless Pay?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,turn on near field communication (NFC)
277,Do I Need To Make A Regular Payment Before A Contactless One?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Ask a question that the narrator isn't sure what the correct answer is.
278,How Can I Find Out Where My Contactless Works?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"ask about it or ask how, find out, or know"
279,Should I Reinstall The Payment App?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,reinstall the app on your phone.
280,How Much Do You Charge To Accept Transfers,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"accept, charge, transfer How much do you charge to accept transfers"
281,I Would Like To Make A Transfer. How Much Does It Cost?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express an intent to ask a question or give information
282,"I Need To Make A Transfer, What Will The Fee Be?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Request for information about fees.. (disambiguation)
283,If I Make A Top-Up Are There Charges Applied?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Charges are applied to additional toppings.
284,Can I Also Transfer With Swift?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"""Can I Also Transfer With Swift""?"
285,Are Swift Transfers Accepted?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Accepted as part payment method to buy
286,I Would Like To Refill My Account Using Swift.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express gratitude to others using swift for an action
287,Do I Have To Pay For Topping Up By Transfer?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,transfer payment to account nbsp
288,Are There Any Sort Of Fees Involved For Top Of Transfers?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"fee, charge, utterance, participate"
289,Is It Possible To Get A Transfer From Swift?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask Swift if a transfer is possible
290,Do I Have To Pay Any Fees In Order To Receive Money?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,asks about fees needed to receive something in a payment
291,How Much Am I Charged To Receive Money?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Payment processing and bank service charge. (Credit card fees and banking charges)
292,Will You Deal With Swift Transfers?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"deal, transfer, utterances?"
293,Will There Be Any Charges For Money Received?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Charges may be made to the receiver of money
294,Will A Transfer Incur A Fee?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Transferred something to someone else's account
295,Are There Charges For Receiving A Sepa Transfer?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"receive, charge, transaction, transfer ear"
296,If I Transfer Money From My Bank To Top-Up My Account Will I Be Charged?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Chargeable? (film) is a 2009 British documentary film directed by Mark Gill
297,Will I Be Charged If Someone Needs To Send Me Money?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,expresses fear of charges for money transactions
298,What Are The Fees For Top-Ups?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask for the fee to be waived for top-ups
299,Will Topping Up By Transfer Lead To A Charge On My Account?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,charge me for topping up by transfer to my account
300,What Are The Charges For Receiving Money?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"Charges for receiving money are often incurred by the receiving party, not the person making the deposit"
301,What Is The Fee To Receive Money?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,charge for receiving money from the bank. cash fees
302,How Much Am I Charged For A Sepa Transfer?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask how much? (with a number)
303,How Much Is The Fee For A Sepa Transfer?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,describe the cost of the transfer of a passenger
304,What'Ll It Charge Me For A Sepa Transfer?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,bewildered by the question's complexity.
305,Is There A Charge For Topping Up By Transfer?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express the intent with less words and use a single expression
306,Do You Do Swift Transfers?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express doubt about the intent of the other words in the sentence
307,Should I Expect To Be Charged For Topping Up By Transfer?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,pay or make a payment via m-pesa
308,Will I Be Charged For A Sepa Transfer?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask before you transfer money to someone you dont know
309,Is There A Fee For A Transfer? If So How Much Will It Be?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,describe the fee for making a transfer and how much will it be
310,Please Tell Me About Swift Transfers At This Bank.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Tell me where they are located...
311,Is There A Fee For Transfer Top-Up?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express an opinion or idea that is contrary to accepted belief
312,Can You Tell Me What The Transfer Policy Is?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,describe the intent of someone asking you a question
313,Is A Swift Transfer Okay?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,okay or okayed? i am not too sure yet
314,Will I Be Charged A Fee If I Receive A Sepa Transfer,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Describe the process of money transfer fees for receiving payments through a money service business
315,"When Topping Up By Transfer, Will I Be Charged?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,be charged for topping up by transfer when I'm not
316,What Us The Fee To Transfer Money From My Bank?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,transfer money fee from bank to bank from your hsbc account
317,Do I Get Charged If I Am Getting Money?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Charged indicates money received. That's the reason I ask.
318,Can You Tell Me The Total Cost Of A Transfer?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,transfer cost of an employee transfer from one place to another.
319,Please Help Me!  I Need To Cancel A Transaction.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,cancelling the transaction i need help.
320,Can You Limit My Top Up?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,limit me up to five gallons in my tank
321,Am I Free To Top-Up As Much As I Want?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Free to use any amount of toppings as you wish
322,Is There A Top Up Limit For My Account?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask if there is a limit to how much can be added to your account
323,What Is The Limit To Top Up?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,limit to top up. what are the limits to topping up?
324,How Much Money Can I Top Up?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,check or transfer money with the help of cash machines
325,What Are The Restrictions To Top-Offs?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,prevent top-off charges on cellular phones
326,Are The Top-Ups Limited?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Nosey parkerish questioning of another
327,What Is The Top Up Limit,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,be informed of the limit.... a new limit for each account
328,I Need To Find Out What Is The Limit For Top-Ups.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,limit or maximum amounted to on the credit account
329,Do You Have A Limit To Top Ups?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Limit(s) in a financial context
330,What Is Maximum Top Up?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Maximum energy transfer from solar source to receiver by a photovoltaic cell or device
331,How Can I Tell What The Limit Is To Top-Ups?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,limit on top-ups for a mobile phone
332,Is There A Limit To Top-Up Amounts?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,limit to top-up amounts.?
333,Is There Any Limit To The Amount I Can Add To A Card At A Time?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Additions or donations to a specific account
334,I Want To Know If There Is A Maximum I Can Top Up.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,limitless intent or limiter intent that is a maximum amount that can be topped up
335,What Is The Limit To A Top-Up?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,limit or restriction on top-ups of money
336,Tell Me If There Are Any Top-Up Limits?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Tell me the truth about top-up limits
337,How Can I Top-Up My Limit?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask the operator to top up your number and you will receive the balance
338,Is There A Limit To Top-Ups?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,limit to top-ups is the restriction
339,Can I Top-Up As Much As I Want?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,be generous and give to others all you have
340,Can You Tell Me The Limits For Top Ups?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,tell me the limits for top ups.
341,When I Top Up What Are The Amoutn Limits.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,limit (number) of times another number is repeated in a row
342,Is There A Limit On Top-Ups?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,limit top-ups on the card is in effect
343,What Is The Top-Ups Limit?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,limit or cap on top-ups to bank accounts
344,Are There Limits To Top-Ups?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,limits to top-ups on mobile phone networks
345,Is There A Maximum Amount Of Top-Ups?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,maximum amount of reloads allowed per customer
346,Do You Have A Top-Up Limit?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,expresses a desire to find out
347,What'S The Top Up Limit?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask your boss for a raise or promotion
348,What Is The Limit To Top-Up?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,limit to top-up? or what is the limit on top ups?
349,How Much Can I Top-Up To My Card At A Time?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask for the answer to the nagging question
350,How Much Can I Top Up?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,add value to something or someones life to make
351,What Is The Most I Can Top Up?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask the seller for advice on topping up your phone
352,Is There A Limit To How High I Can Top-Up?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,limit to how high I can top-up
353,Is There An Amount Limit To My Top-Up?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Limit (album) 00:00:01
354,Is There A Limit For Top-Ups?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,limit or cap for top-ups?
355,Is There A Maximum I Can Top Up?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Is there a maximum I can top up?
356,How Can I Tell If There Is A Top-Up Limit?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Tell me how to know if I've hit my top-up limit
357,Do You Have Any Restrictions To My Top-Up?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Restrictions on the amount of money a person can add on to what they already have
358,As For Limits Are Top Ups Included?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,As a precautionary measure..not recommended
359,Which Cards And Currencies Do You Support?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,expresses the need for a variety of options
360,Where Can I Obtain My Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"obtain, card, location, utterance"
361,How Do You Get A Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"asks for advice, not money or instructions"
362,Where Can I Find A Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Where Can I Find A Virtual Card? is a question about e-commerce
363,Is There An Option To Have A Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,have an option to virtual card'' means having a virtual account
364,If I Don'T Want A Physical Card Can I Get A Virtual Version?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Asking if something is a yes or no
365,I Requested A Virtual Card But It Is Not Showing Up. Why?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Requested a virtual card but it is not showing up
366,Can You Tell Me How To Order A Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express skepticism as to someone's intent
367,Where Is The Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,locate the card's virtual location in the app
368,What Is The Virtual Card,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,expression of the card's virtual nature.
369,How Do I Get A Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,get me a virtual credit card online now
370,Where Do I Order A Virtual Card From?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,order virtual card where do i order a virtual credit card
371,Why Did I Not Get A Virtual Card Yet?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,get a virtual card fast and free online
372,How Can I Order Virtual Cards?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,order virtual card now online from the most secure
373,Can You Tell Me Where I Can Order A Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask the person where they can get the card
374,Is It Possible For Me To Get A Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,get a virtual card possible to get one
375,Is This Where I Order A Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,buy gift card online in india in chennai
376,What Are The Steps To Getting A Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,get a virtual card for online transactions and payments
377,Help Me Obtain A Virtual Card,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask for help with a virtual card.
378,Where Is The Virtual Card Located?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,asks for help with what? where is the virtual gift card located?
379,Where Can I Order A Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Buy me drinks at the bar and I will buy you a virtual card
380,Where Do I Obtain My Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,obtain a virtual card online for free dick
381,I Want A Virtual Card!,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express gratitude towards whoever gave them the card
382,I Want One Of Those Virtual Cards!,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Requested or Pleading for something as a favor to someone
383,Are Virtual Cards Available To Get?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,get the vc i want at a discount
384,Can You Help Me Sign Up For A Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask for help in sign up procedure from another person
385,Can I Get A Copy Of The Card By Email?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"request, order, want, need, card"
386,Where Do I Find The Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Location Information Technology (IT) Infrastructures and Standards
387,Why Do I Not Have A Virtual Card,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask me why do i not have a virtual card
388,How Do I Order A Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,order and receive a virtual gift card.
389,"I Thought I Was Going To Get A Virtual Card But I Haven'T Received It Yet, How Can We Resolve This?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Resolve my issue quickly and effectively.
390,Please Help Me Get A Virtual Card.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Request assistance and/or help from others.
391,Can I Order A Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,order online virtual card now free shipping on eligible
392,Where Can I Go To Get A Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Get a virtual card at the store in the lobby
393,Where Are The Virtual Cards Located?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,find the location of virtual cards online..
394,I Would Like A Virtual Card- Where Can I Purchase One?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express your intent clearly...or it will be misunderstood.
395,When Should I Receive My Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,receive my virtual card when should i receive it
396,I Need To Reorder My Virtual Card!,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express the desire for a new virtual card
397,Where Can I Get A Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,buy a virtual card online from reputable retailers
398,Is There A Way To Obtain A Virtual Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,obtain a virtual credit card online with no paperwork
399,Can I Have One Of The Virtual Cards?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask for something of value or importance that can't be obtained otherwise
400,Will My Card Be Accepted All Over The World?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express concern over a credit card charge being denied
401,Who Accepts This Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,sarcastic or cynical
402,Can I Use My Card For Payment All Over The World?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Travel abroad on your credit card with no fees
403,It Will Be Fine To Use At Any Establishment That Accepts Mastercard.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Acceptance of Mastercard at any establishment in the country
404,Where Can The Card Be Used?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Useful place or thing..(adverbial)
405,Can My Card Be Used Everywhere?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,use everywhere or anywhere on my card or visa
406,Are There Any Limits On Where I Can Use My Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,limitless possibilities in using credit cards in the same way
407,What Stores Can I Sue My Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Finance and Business. and Insurance. companies often do chargebacks on credit or debit
408,Can I Use My Card Anywhere I Want?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask about using your card in other locations or online
409,Is There Anywhere My Card Will Not Be Accepted?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,be accepted anywhere in the world with a credit card
410,What Are The Rules To Where I Can Use My Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"use the card to buy anything you want, anywhere"
411,Do You Know Where My Card Will Be Accepted?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,None of the above choices..........
412,What Places Can I Use My Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,place card can be used in what places?
413,Is My Card Accepted Everywhere?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express doubt about an answer of the utterance
414,What Places Will Accept My Card For Payment?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Payment acceptance by card is very common and widespread
415,Does This Card Work Everywhere?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Works everywhere in the United States. Works on the iPhone.
416,What Businesses Accept This Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"ask a question or make an assertion, usually without elaboration,"
417,Where Can I Use My Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,shop for the cards and to get discounts.
418,Which Outlets Accept My Card?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,inquire about ecclesiastical acceptance
419,"I Am Traveling To Germany, Will I Be Able To Use My Card There?",Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Traveling to Germany is a major concern for this card.
