,utterance,classes,prompt,EleutherAI/gpt-j-6B
98,my card doesn't work,['work card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","doesn't

When I run the code, it shows me the response in below manner:
   {
""response"": {

  ""speech"": ""Your bank card works!  "",
 ""text"": [
{
 ""_content"":{

 ""message"": {""text"":""Your card is now  working. ""},
 },
}
 ], 

 }
 }"
99,how can i resolve a problem where my card won't go through at all?,"['resolve problem', 'go card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","choose card (no longer supported)
resolve problem using
show card for
get information
how
where
do card 

A:
​
   You don't need to specify that ""card"" is the one you want to send to the speaker. You just need the command for the thing you would like the AI to do: ""do this.""
For example: 

 - ""how""

 ""ask AI how to resolve this problem"" (will be recognized by Siri as ""send me directions to {your location}"")  ​
 ""choos c""  ""tell AI where I am""
(will say ""where to start?"" or the exact address if it can find it.  )​  ­- ""get info from google"" ​"
100,my actual card isn't working,"['actual card', 'working card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","choosing

When the user says ""working card"", I can simply say ""Sorry, it does not work at the moment."" 
when the users says, ""choose"", how do I handle?  What will be the best approach in terms of Natural language understanding?
I am thinking of  using a slot filler and some NLP. But I am not sure if this will solve my problem. Any pointers? Is this the correct way? (Please feel free to point me out to any better/simpler alternative)
What would I do if ""Working card"" or ""Choose"" does't work, I just want to make sure that the application will not crash? I don't want the app to crash because of the way the conversation was being carried out.   Can anyone help with this? Thanks. :)
Update: I have been researching the natural language processing field. As mentioned in various resources like this:
https://www.coursera.org/learn/natural-language-processing
This will involve training the program with the data I mentioned to the system. This is what I need help on. I will start by implementing slot fillers, so that I would be able to answer my question using those utterances ""actual Card"" and ""Choosing"".  So how would i train the algorithm in this case? Will this be good enough to be used? Can someone point to a resource that provides me more on this topic? or does anyone know of a good book? Any help will really be appreciated as its quite time consuming without it. Thanks, have a great day :)  :) :) : :)... :).. :)..
@Amit
  I understand where your coming from but this is a different scenario to mine, my app is going to help someone in need of help rather than a chat bot which does a job without any human interaction as yours seems to do
Thanks. Have a nice day. : )
Thank you!
Regards
Karthik :).... :). :)... :).......... :
 @Kartik Thanks for all your help. It really has been much appreciated. And you're right. My app will work for a person to find the right solution for that person. The chatbot will do the job, but the person needs a human intervention. A very small amount of human effort"
101,is my card broken?,[' card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","set_intents

If i set this to set the intent then the app gets stuck and never does anything. It just doesn't get past intent recognition. I've done a lot of research into intent handling and it seems to work perfectly fine. But then I thought about what would happen if the user's card broke? Would it crash the program? If so, would I have to do any sort of error handling? Is the problem that I'm trying to execute multiple intents?  I would greatly appreciate it if people could show me how to handle this correctly. 
Thanks a bunch!
PS. The code looks like this:
Intent intent = new Intent(""com.danielfernandez.tictoc.card.SET_INTENTS"");
intent.setFlags(IntENT_FLAG_ACTIVITY_CLEAR_WHEN_TASK_RESET);
startActivity(intent);   // This is the line that gets caught. (The app simply never gets past this line. If i remove that line, it works fine.)
this.finish();
return;
 }
 @Override
public void onNewIntents(List<Inte> newInts) {
  Intent intent; 

  for(int i = 0; (i<newInt.get(i).getInt(""intent"")) > 0 &&
(new int(""i"") < new int(2)); i++){
 intent=new Intent();

 intent.putExtra(""newintent"",new Inte(1, 2)); //i, the current intent
 new intent(this,intent).addExtras( new Inten(0,i));  }

 }  @SuppressWarnings(""null"")
@Override protected void  onActivityResult(
 int requestCode, int resultCode , Intent data)  {  return;}
}  class CardActivity extends  ActionBarActivity {//...
protected void setupInt() {

 super.onCreate(savedInstanceState);

 setContentView(R.layout.activity_card); // the view to display

 startActionMode(null);//create an action mode for the card.

 setup();  }}
 // setup()
{  super(context); this.setupInt(); // this method sets up the UI elements"
102,i broke my card,"['broke card', 'broke card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","I am able to achieve this using code similar to the one below.  
import argparse
parser = argparser.ArgumentParser(desc='Process command line options')
# Add actions
group = parser.add_argument_group('My arguments')  # Add a group
args = vars(parser._get_parsed_args())  // Get a dictionary of the command-line arguments
for key, val in args.items():
  parser_help.append('-%s' % key)
argparser_output[0:6] 


def main():

  my_arguments = []

 if (__name__ == ""__main__""):
 myarg = 'brooke'
myarg_dict = myfun(my_command= arg.mycommand)(myargs=myfunc(arg.MyFunction(), myfunc2(**mydictionary( arg)))
print mydic

 #mydict[arg[1]] = None  - works, my dict is updated. But I need to add the line above
 else:  ##this is the code to run if it's not the main function
 arglist = parseArgs(sys.argv[2:] ## argv is an array of command lines that start with ""python main.py"", but this will be a command from inside the program
 print arg
 def myfunction(val1,val2,**kwargs):  print kwargs, 'val is ', val1.val, "" val is "",val3#**(kwlist)  ----**val(1)

 def **myfunction2(*arg):**  val4(0)**#***(keylist,*arg) val(2)## val3 val0 val5 val6

 mylist_of_keys = list(sorted(d.keys() for d in arg))
 for key in mydict: ##I use my functions and dicts to make my own logic
 if keyin arg[:10]:##if my arg is 10 characters
 key_string = key[-1]##the last char is a string
key_char = int(str(int(x[:-1])+(x.count("","")+1-len(name)))+"
103,my card stopped working,['working card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",No card or card is broken. I have a card with me. Can you please check it.
104,my card is broke what do i do?,['do card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","A:
-do is the verb of the card intent. 
So what you need to do here is to find the word card in both of your utterances, and do the -ing action of this action."
105,i tried using my card today and it's not working can you help me?,"['help card', 'help today']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","How do I use this in my code? I'm new to LUIS and don't know how to handle this question. Please help!!
Edit: I found this but I donot understand it. It shows the utterances in a list. How can I know what to put in intents? 
http://docs.botframework.com/en-us/index.html?/reference/cognitiveservices/luis/intents/v2/
https://youtu.be/9Xx6Qr6b7bk
Update:
I'm using C#. I can't do this from the LUMA template.  I have to implement it myself. The answer below is what worked for me. Thank you!
public List<Intent> GetIntents()
   {
var intl = new IntlLuisModule();
IntlTextAnalytics textAnalytic = textIntelligence();

  List <Intento>intentos = intializeLuisextractorsFromTextanalytic(intl,textAna.Text, int.MaxValue);
List<Utterance>listOfInts =  intinalizeUttersFromLuiserTextintanalytics(intent,int.MinValue, listOfIntervs.Count, textAnal.Speech, false,false);

 var intento_1 = (from ut in listutters
where ut.Intext === ""what""
select ut).FirstOrDefault(); 

 return intentos;

 }  // this returns a List  (Intente's)
}  public List of Utters (utterances which is the sentence)  is  called from another method (this method returns the List)

 public IntialiseLuisecondextractorstextIntelligents(string intext, string language, double score, bool isNeg) { int int_0; int len,i,k;  var intent =new Intent() { Name  = ""Help"" }; Intent intent_2; IntentList  intentList_3; UtterancesList utterList; string[] ids_4; //  string str_5; var _int = from int in  _from"
106,my card stopped working when i use it,"['use ', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","My code is as below :
   public void run(Intent i){
Log.d(TAG,""start"");

  String response = """";
String token =""""; 

 Intent cardInt= new Intent(MainActivity.this, Card.class);
i.putExtra(EXTRA_TEXT, i.getStringExtra(""text""));  or  i. put extra
(cardInt.EXTRE_INTENT, card.Intents.forCard());
 i m starting up activity
 startActivity(i);

 //get the response from the server using  ""post"" request
 try { //http://www.google.com/search?q=""hello how are you""

 response= http.post(""""+i, ""text=hello  how ar"" + ""e you?&source=hp""
+""pgeapid=1514240023"",""Content-Type: application/x-www-form""  +  """"  );
} catch (ClientProtocolException e) {
// TODO Auto-generated catch block
e.printStackTrace();
 } catch(IOException i)
{
 e. printStacktrace();

 }  finally {  if(http!=null){try { http.close();}catch (IOe  nt e)} }

 TextView txt=(TextView) findViewById(R.id.textView1); //this is  the
response  tt the client to display
 t = getIntenst(response);// get the type as ""response"" or ""error"" ""fail"".....
intent=getIntnet("""");
if(inten!=""error""){// if not error  type
 if ( inten == ""card"")
 {//if the respon is a card  inte

 t.setText(((String) t ).concat(Integer.toString(CardInt .RESULT_CODE)) +
 Integer.parseInt((String (Card  Intents  )) ));
 //Card intent to start intent activity with card int
 }}
else
System.out.println(""type of type""+(int)inte);}  catch
 (InterruptedException"
107,i can't use my card,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","I can use card for sending the amount. (Card number)
 use the card to send (credit card) the money, (card number is stored in the database) 
How can I use them?
Thank you in advance
The code is :
public class SpeechIntentHandler extends BaseIntentsHandler{

   Context context;

 // Speech intent Handler
  @Override
protected List<Builder> getValidatedIntEntities(List<Entity> list){
List <Builder<?>> validInts = new ArrayList();
validIntts.add(new IntentRequest(CardInt.class));
 }
}
the cardInt is as follow :  class CardInt extends Intent{
private String ccName;
@Override  protected void handleResults(
IntArray result, IntentSender sender){

 }  }

 A:can i use this card int?  B:yes, what should i do? C:how? D:what should I do? E: can you help me please? F: what does it mean? or G:do you need?
Thanks in Advance
Sara
P.S. I'm a newby on Android
Edit
After testing i got a message with the code ""A:I don't understand"" and the error:
com.google.process.gapps.maps.exceptions.NoActivityError: com.android.example.speechrecognition_example
at comgooglemapsandroidproject
.ExampleSpeechIntextRecognize.onCreate(ExampleVoice.java:57)

 [Activity(Label = ""comgooglemapandroid"", MainLauncher = true, Icon = ""@mipmap/icon""))
 public class ExampleVoice extends AppCompatActivity  implements Listener {
TextView tv;  TextView text; TextInputLayout textInput; int count=0; ListView lv; private TextRec recognizer; @Nullable @RequiresApi(api = Build.VERSION_CODES.LOLLIPOP) @SuppressLint(""SetJavaScriptEnabled"") @Subscribe(threadMode = ThreadMode.MAIN)@OnClick({View.OnTouchListener: ((v) -> {

 tv.setText(count +"". ""); }) })  private void onClick(){"
108,need help with my card it's not working,"['need help', 'working card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","help card working 
help with card   working


#### Speaker Notes
  - @param [<span style=""font-variant:small-caps;"">Audio</span> `audioUrl`](https://texttospeech.apache.org/#/audio-data-types)

> Note:
The SpeakerNotes parameter contains information about the system's
informative texts. These texts are shown to the user when they
choose 'None' from the list and do not have information to convey
to the caller. This parameter has a maximum length of 4096
characters.

 This is a required parameter
 - If the <span class=""note"">`Audio`<kbd>`content_type`</kdbd> is
`""SSML""` it has to be provided for the `SpeakerNotes` parameter. The
string must have the following format: <pre>'&lt;speak><![CDATA['+
 '&nbsp;<em>Text</em><br><em>:<br>&hellip;</br></em>]&gt;'</pre>.
 The string has maximum size of 8192 characters. If more data
 is provided beyond this size, the message will be truncated.</span><p>
<h4>Content-type</h3> <strong>Accepts:</strong><ul>  <li>ssml</li><li>""speaker_notes""</ul><h5>Value: </strong>""ssmi"" / ""<em>""speech_synthesis_markup""<\/em>[<strong>]</p><pre class=\""tt2\"">
 &lt!speak 'hello'
&ndash;&mdash,&rdash&ldot;
 --&rsquo;[Text]:hello
---&#x3BB;:&lsquot;}
</tt>

 The `ssm` format is for using Speech Synthesis Markup Language (SSM) for
 synthesizing voice.</p></td></tr></table>"""""".trimIndent()
	}

	def testSpeech() {
}"
109,i cannot use my card,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","Option 1: use card, as you can see in the below example:
card
{
   ""utterance"": ""I have a card"",
}
The following are the possible slots in utterances in
the JSON response: card. The card property can have one
or more slots. If no slots are present, a slot named card is
created. Card slots have no fixed schema. They may be used
to store any property of the card type that can be stored in an
API request's body (excluding those that are reserved for the request
body's own purposes; see Reserved Slots and Properties for an explanation)
Examples
A typical response would look like this:.

 {
 ""text"": { ""language"": 'en-US',
""text"":"" I have 4 
cards on my account. ""},

 ""intent"":""use_card""
 }
You can also specify intent information in text. For example, the
following intent would indicate to the user that the intent is ""use
a card"":
intent: ""u"""
110,the card i've got seems to be broken,['seems card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","1. seems card with the intent 'card'

So, what I am getting is 1, not 2. 
Is there any way to solve this?
Thank you.!
Update :  I have fixed the error
But still, I don't know how to fix the 'it doesn't recognize the card' error. I want to give the user an hint that the machine is not able to read the credit card. Can we do that?  Can I provide an image of an error message instead of this text?
Here is my code :
def getIntent():
speech = Intent()
intent = speech.recognize_google
print(""Recognizer says : \n"" + intent.name() + ""\n"")
return intent
if speech == ""greetings"":
 speech = ""It doesn’t recognize card""
 return speech
 intent = intent_builder.from_name(""amt_transaction.amnt_type"").setRecipients(""xxxxxxxxxxx"") # set the recipients from here
 try:
 _intent  = recognizer.record_with_timestamp(speech, timestamp)
 recognize = _ intent['results']
 for item in recognized:  # loop through all recognized items
 if item['isLanguageModel']:
 item_string = item[""text""][:item[""confidence""]]
 word_recognition = WordRecOG.find_closest_to_list(""It"",item_text) # Find a closest match. This is very simple. You will need to write this function. But we don‘t have to. We don´t need this to get this running in python. So, for now, don`t waste your time writing this. The code you need is here. https://github.com/amozisw/Speech_Reco_for_Python
else:

 #item['text'] will just print the recognized text and confidence. For a list of all available words or for the top 10 most common words it is: item.text[0].
for i in range(10):
 #print(_intent['rawResults'][i]['prelim'])  //presents the confidence for that word
 print(""\n"".join(["
111,my card isn't working,['working card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","instructions.text: 
intent.name: select_work_intent
output.payload.prompt: choose the best card?
   card id: ""my id""
choose_card.intent:
- Do nothing. This intent is optional. It's used to check if the user has enabled it in the configuration

What is the right one?  and how can I get ""chooser"" intent?
Thanks in advance!!!
Update: this is a working test code: it works only if there's a ""card"" attribute in payload. If the attribute isn`t there, it doesn't work. Here is my code in JS: https://github.com/myapp/testapp
If this card attribute is empty and I want to get a dialog from this JS code, I can't find what is wrong. Do you have any suggestion? Thank you for your time!
The JS function: is there some problem in my configuration file? Or in dialogFlow config? Any idea about it? I think is not about the intent, but about how I set the parameters.  If someone have idea, please help! Thanks all
// Create a new ConversationState to track user state. You must provide your own validator. The current
 // state of your user is sent to the service when the Conversation is opened. Then, subsequent input is
 dialogflow.Conversation.createContext(Conv_test.JS);
 var convo = dialog.convos.list('ConvoId1', function(convoids, resp) {
 convoids.forEach(function(convo){ conv = convoid;}
});
con.ask(q); // send a message to Dialogflow
}
)
function ask(query){
var conv=this;
conv.setState({query}); // Save the string in a State variable. We'll use this later on.

  var request = {  input: { raw: q, params: {} },
 context: conv.state.query }; // We specify a payload here. Any input that the bot receives, such as a photo of a cat, will be combined with this input to produce the output. In
this example, we're using a text input from the chat. To produce a card input, use the"
112,my card suddenly quit working,['working card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","working card - 1
not working - 2
I am getting the following error:
Exception in thread ""main"" java.lang.ArrayIndexOutOfBoundsException: 2 at com.ibm.api.response.ResponseMessageBase.setErrorCode(ResponseErrorMessage.java:60)

A:

 ResponseMessage message = new ResponseText();
 textMessage = ""I have a card that won't work."";
 message.message(new ResponseType(textMessage));
 return message;"
113,i have tried to use my card several times and it does not work,"['use card', 'several times', 'work times']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","times work on
 do
 does

Actions
work
on
do
times
for
several
does
has
to
of
my
card
cards
time
works
many
used
at
this
your
are
from
and
me
it
is
will
as
by
be
but
can
had
if
no
their
in
you
was
would
should
who
with
when
what
how
a
I
about
because
same
an
have
don
did
let
make
others
out
all
just
been
into
like
also
these
after
could
that
before
too
such
between
must
more
than
one
the
under
once
some
much
above
so
then
any
there
down
where
few
until
less
except
over
below
not
or
our
each
near
since
plus
now
first
here
enough
which
somewhere"
114,the card i have doesn't work,['work card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","call the police
send a message
I want to do...
This card doesn''t work. Call the customer services
i have a card to call customer service
show me your card so i can do that
You''re welcome. My name is... How can i help you?""

The following example is a simple program using the Google Cloud Natural Language API. 
To get the natural language API working on your server, see the [Natural Language section of the documentation](https://cloud.google.com/natural-language/docs/)
In this example we use a web server to access the API, using Python. But in your own code you can create a Python client library from the client c-library. See the next example for creating a client. Once you have the c library, you will be able to read and write to the Cloud NLP API via the library as described [below](#python-code).
[![Build Status](http://g.twimg.url.co/profile_images/386489791/twitter-logo-v3_normal.png)](https:github.githubassets.io)
## Step 1. Create a natural-user-agent
Create a user agent header with the name `google-cloud-natural` set to something unique. This will allow you to know which request is being processed. You want unique name to avoid accidentally trying to handle one request with multiple users. We use the `Google/Cloud-NaturalLanguage` header in the below examples to refer to Google's client-server library for processing NaturalLanguage requests. The following code creates a google-service-account client which can be used to generate a unique user-AGENT-name for your requests to GCP. Make sure you are the owner of your GKE cluster. Otherwise, it can take 5+ days to become the GOOGLE_CLOUD_NATURAL_LANGUAGE_AGENTS_KEY_NAME owner and have your request honored. In the long run you want the key you create below to exist on a permanent basis on GCS as that is the only way your natural languages requests will succeed with your account. If you wish to delete this key when this guide is published you may wish too delete it after a few days.

   - `g"
115,my card doesn't accept any transaction at all what's wrong??,"['accept transaction', 'accept transaction']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","end transaction   accept transaction on 

reject transaction

 end transaction off ...end of transaction..  reject transaction.  off"
116,how can i check if my card is working?,['working card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","i want to have the following
   Intent intent = new Intent();

  if (UtteranceUtil.isIntentAvailable(""workingCard""){
//do something
}else{ 
Intents.sendUserToSettings();  }
The problem is that i have to check the utterances first and then i will have if-else to do something, how can I check this first? I dont know if this is the right approach?  Please advise.  I tried doing this but still the ""else"" is happening. I think I am missing a step. This is my code: 

 UtterancEngine utterancEn;
 utterancc.setOnUttermuteCompletedListener(new UttermCompletedOnListener() {
 @Override
 public void uttermentCompleted(String utterAnc) {

 if(UtternanciChecker.checkUtters(utterAncc)){

 }else  /*I need to send user to settings*/ {Intently.getStartActivity(Intento.MYPAIDACCOUNT,Intendo.SettingsIntend);} } } });
 //the checkUtsters method
public boolean checkUttters1()  {  //Check if the user utter the card working or not

 final  String utter = ""workingcard""; //The utter that I want it to be checked

 //Create the speech synthesis intent
 Intent speechSynIntntent = Utters.createSpeechIntant(speechSyn,speech_text,utter);

 int utterSyn = speechSynthesizer.startSpeaking(text);
 try {Thread.sleep(5000); } catch (Exception e) {}

 boolean speechIntEntAvailable = false ;
 speechSync = context.registerContentObserver(Constant.SPEECH_SYNTH_STREAM, true, observer); // Register a user observer to listen for speech synthesizer state changes
 if (!speechIntSynEnts.equals(""none"")) { //if it's available
speechIn = contentResolver.openInputStream(Constants.SpEece);  speechIn.close(); //close the stream
return true;}

 else {speechSync.onError((Exception) null); /*Handle error. */return false;} }  });  return true;"
117,nothing goes through on my card,['goes card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","doesn't go card 

For the sake of simplicity:
if(UtteranceUtils.isLanguageSupportIntent(context, ""go"", false, false)) {

   //go
  options.add(Intents.Action.GO, data1);

 } else {
//go is not supported by this model
 //options.remove(go);
}
else if(...) {.... }"
118,how do i find out why my card won't work?,['work card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","So I guess, what I'm looking for is, an intent that I can use to determine if a user has selected something from my list of items, or just typed something in. I am able to get the name of the selected item in the intent handler (I get a String) but I cannot figure out if its selected or typed. If you have any advice, I'd really appreciate it. 
Edit1: I tried to use the answer I got from another user but it didn't quite work, when I run the code in debug mode I never get an exception. Is there an error in my code?   Thanks. And to all people answering. Keep them coming. My question has been very helpful. Thanks!
EDIT2: My code works, but only because the ""card"" intent is not a required intent so it does nothing when it is selected. Now I just need to figure how to make all other intents fail if they are selected without having to type them in... Thanks again!  :)
 public class ActivityA extends Activity  { 

  Intent i=new Intent (""my_intent_name"");

 @Override
  public void onActivityResult(int requestCode, int resultCode, Intent data) {
 // TODO Auto-generated method stub
 super.onActivityResulst(requestcCode,"""",resultCode);}
 }
}  //end Activity
This is my activity that has the card intent ive mentioned before
package com.testproject;
import android.content.BroadcastReceiver;  import android.content.Context ;  **import * ; ** import * as com.test.my.class.in.other.package..extensions **
public class CardSelectedReceive extends BroadcastRecevier {

 // this is a static variable for reference
 private static  Context mContext;

 protected Context context; //declare this as protected since you will need it in other classes
 String intentname;//declarate this and give it whatever you want and put it where you need
 Broadcast reciever on card selection //give it the same name as you gave your intent
 Intent mIntent; **//make this a public intent since it will be used in more places than your activity and you dont want a class name conflict"
119,could it be that i deactivated my card its not working?,"['deactivated card', 'working card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","I am not able to understand where did I go wrong here. Any pointers will be highly appreciated. Thanks. 
   Intent intent = new Intent(Activity.this, HomeActivity2.class);
intent.setFlags(Intent.FLAG_ACTIVITY_CLEAR_TOP);//clear the stack
startActivity(intent); 

  protected void onActivityResult(int requestCode, int resultCode,...){
...
}
protected void handleIntents() {

 if (requestCode == REQUEST_CODE && isIntact == true) {  // check for request code & is it intact

 Intent startApp = getIntenet(...);

 PendingIntensities.cancel(this.pendingActivity); // cancel the old activity

 getApplication().enqueue(startApp); /* new request in queue */

 }

 return;
 }
private Intent newRequest(String utterances,int action){  /* check if there are still intents in the queue. If there's still one in there, enqueue it. */
Intend newIntention= new ActivityIntends(
 utterments,
 intent.addFlagsToCopyInto(FLAGS));
 PendedActivityList.update(newIntensation);/* remove the intent from the list and add it to the new intent list */  int len=PendedActions.size();
for (int i=len-1;i >= 0;  i--)
{
 if(!PentedActors.get(i).isIntantIntending) continue;/* if the pending intent isnt intending, skip it */ else if ((i == len-2) && PentedAction.remove(PensedAcs) > 0){/* the last and oldest intent in list is going to be enqueued
in case it's an utterence */ } if (!PendingAcls.check(len)){PendantActivitysList newA= PendantAcrts.newInstance( utternces); PantedAactions.put( PensedAction );
PendantsAction = PannedAciactions
newA.enqueu( newPInt);} }}  return intent;

 // this is called"
120,my entire gym bag including my wallet was stolen out of my locker today everything in my wallet is gone - how do i block the card to make it can't be used?,"['block card', 'gym bag', 'entire bag', 'used card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","What I have done so far:
   if ""card"" in question:

  - Get the last 5 numbers and convert to int (card_number_extract)
 - Find the phone number of the victim (phone_nr) 
- Check if the number exists in the contacts list (contacts_check).
If the result is positive, print it, if not, use intent.action.GET_CALL_LOG

 if 'entire bag' in query: 

 - Check the current phone numbers for call log (call_log).  If no call logs are found, display error message.  (no_contacs)

 else: # the bag is either the gym or a card. (if gym:) check if gym has contact details (has_gym) and display gym info if it does. if no - print error and return.

 return get_intent(None) # this is how to get an output in a Dialogflow Intent. It gets a response and then it goes into a ""done"" state and waits for the next input. I dont get it yet"
121,i can't find my card and think it may have been stolen,"['find card', 'stolen card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","find phone

Here is what I have done so far
import java.io.UTF8;
public class Utterance {

   public static void main(String[] args) throws javaException {}
  /**
 * 
 */static public int getUserInput() throws Exception {
/**
*  Get user input and set to a variable
*/
int user_input = Integer.parseInt(JOptionPane.showInputDialog(""Enter a number: ""));
return userinput; }
}
The code was written for a college project.  Any help will be appreciated!
I am trying to use this code to detect if a card is stolen by comparing the serial code with a set value. However I can not get this program to run. Is this the proper method or is there an easier way? If so, could someone provide a link? Thanks in advance!  I am very new to programming if anyone needs clarification please ask. :)
Edit: I want to be able to tell if the user stole the card. I do this by using an online card database which I use to check the serials numbers, and if there is a match I will alert the police or do some sort of action. The code works if you manually enter the number, but I really want this to work with just saying  ""stole card"", because people are not going to read the code. Thanks again! :)  The only thing that might help is, if I could get an error to throw. If I get something like illegal character I know what is wrong. Please let me know if any other code is needed and where I was going wrong?
Also: This is not homework I need to submit this for our programming group. It is to learn. ;)
EDIT: Thank you all! The following code does work for me. All of you helped me learn a lot! Thank again for your help! This was my first real assignment, so this was a big help. Thank You! ;)  This will help with the next step in the program. (If someone wants to know).  Thank everyone once again. :D
private static int myIntent = 0;

 public Utternance()
{

 JOptionChooser jc = new JoptionChopper(my"
122,someone stole my card i need to report it stolen i made a police report already but how do i report it with you?,"['report report', 'police report', 'report report']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","stolen card stolen

A:
(1) report(report)
I can report to the police department.  
B) police
The police are at the crime scene. I need police. (police)"
123,i cant find my card it's gone,"['find card', 'gone card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","So my question is how to parse this string in my java code?
Can you please show me the way of doing it? 
Thanks in advance   ;-)
PS; If you know how this works it will be great if you share
Pps; I am parsing a sentence and I need to choose the best intent, but I want to do it automatically. I do not know yet how many intents I might get.  I just parse until the next word. So I think ""gone"" is a good word for intetnt, which is why I chose it
Update:
I am currently using this code for my parser: but now I have the problem that I cannot get my intnet. The only thing that makes a difference is the fact that some of my utterances have a space between the words so my code is not working correctly. And it does not parse at all the following string:  ""the man gone""
try
{
  if (parser.getInput().equals(""the card is gone""))
 {
...
}
if (...)
...
else if(...)  //etc... 

  }
catch (ParseException ex)
throw new Exception();
 }  });
 parser.addListener(new Listener() {  public void
 void begin(Object object) throws ParseExeption {};  void end()  {...} ...  };

 });

 }

 if((i = parserInput.indexOf(""card""))!= -1))
....
 else if ((i=parserInput
.indexof(""man""))!=-1)....);
 // and so on

 private List<String> parseIntents(String sentence) {

 String intent;
 ArrayList<intent> result1 = new Arraylist<>();

 ListIterator<Token> listiterator1=sentence.iterator(Token.START);;

 while(listiterator.hasNext()) {//while loop for getting the intnets
 Listlist1.remove(index); }//remove the ""card"" from the list

 Token start = listIterator.next(); // get the first token in the
 sentence  String startToken = start.text();  Intent startIntent =  new
 Intent (startToken);"
124,my card is lost! what can i do?,['do card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","say hi
I do have a card. 
What's the PIN?   I have lost my card and I do not know my PIN. What can I  do if I'm not able to remember?"
125,i lost my card,"['lost card', 'lost card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","I lost it at home
it was stolen in a restaurant

What I want is that the first intent should be used if utterances are not specific. Also, I can always change my intent if an utterment is not very specific to the user. 
Is there any way to do so?
Thanks in advance. Any help appreciated
Edit:
This is what it looks like. The utterments are from a list in the db (which was given by some other users) that have been manually verified. Now, my question here is if I should do a regex to make sure all the utterements are valid or if there is a better way
   {
@Override
public List<IntentPrediction.IntentsForIntentionDescription> createIntented(List<Tuple> utter, Context ctx) {

  IntentPredictions predictions = new IntentPredictors(ctx, new ArrayList() );
try { 

 final int numUtterances = utter.size();
PredictedIntensions intentPredicts = predictions.getIntendedUttersAsPredintedIntension( utter );  //get predicted intensions
if (intentPredicates.contains(intentIntelligenceRule)) { //check if intent in intent intelligence  is valid
 for (int i = 0; i < num Utterance;i++){
 PredictedUtteredUttering predUttermtance = intentIntelligentUtternmentUttellings.inverse().getPredicatedUtterytements(utter);
predUttermsIntentalist.add(preduttermandUttentiontList.toString());
 }

 } else{
 if(list.isEmpty()) { return predictions; }  else { Intent intents = (Intend)list;
 return intentPositon(intents, predictions);

 }}
} catch (Exception e) {}
return predictions;}
 private static void IntentIntellectualUttle( String s ) { }
private static String IntentualUttenentUttler( int intent )
{  }private String intentual_Utteintent();

 private ListPredicteUttersonIntensiveUtts(PredicateIntensedIntellectIntelligeUttionIntenst)
 {} public class ListUtttons()
 {} private void Pred"
