,utterance,classes,prompt,bigscience/T0pp
288,are there any sort of fees involved for top of transfers?,['involved transfers'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",fees involved in top of transfers. options involved
289,is it possible to get a transfer from swift?,"['get transfer', 'get transfer']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get transfer... on swift. wikipedia
290,do i have to pay any fees in order to receive money?,"['receive money', 'receive money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",receive money. do i have to pay any fees in order to receive it?
291,how much am i charged to receive money?,"['receive money', 'receive money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",receive money. get money from others in return
292,will you deal with swift transfers?,"['swift transfers', 'deal transfers']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",swift transfers will be dealt with. based on their current account balance
293,will there be any charges for money received?,['received money'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",will there be any charges for money received?
294,will a transfer incur a fee?,"['incur fee', 'incur fee']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",None of the above choices.. 'll incur a fee
295,are there charges for receiving a sepa transfer?,"['receiving transfer', 'sepa transfer', 'receiving transfer']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",receiving transfer sepa transfer?.
296,if i transfer money from my bank to top-up my account will i be charged?,"['topup account', 'charged account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",charged account topup account? i am confused about the charges
297,will i be charged if someone needs to send me money?,"['send money', 'send money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",send money. send me money. get paid
298,what are the fees for top-ups?,[' topups'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",topups.. fees for top-up
299,will topping up by transfer lead to a charge on my account?,['lead account'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",lead account... lead to a charge
300,what are the charges for receiving money?,"['receiving money', 'receiving money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",receiving money. otto koehler
301,what is the fee to receive money?,"['receive money', 'receive money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",receive money. pay money online - wikipedia
302,how much am i charged for a sepa transfer?,"['sepa transfer', 'charged transfer']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",charged transfer sepa transfer????
303,how much is the fee for a sepa transfer?,"['sepa transfer', ' transfer']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",payment method transfer fee to other payment system of my choice
304,what'll it charge me for a sepa transfer?,"['charge ', 'sepa transfer', 'charge transfer']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer charge.. i need some cash to a friend and he hasn't brought any yet....
305,is there a charge for topping up by transfer?,['topping transfer'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",topping transfer. no charge. I have never been asked for a top-up fee before this month.
306,do you do swift transfers?,"['do transfers', 'swift transfers', 'do transfers']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",swift transfers do transfers?.com.
307,should i expect to be charged for topping up by transfer?,['topping transfer'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",charge for topping up by transfer. i should not
308,will i be charged for a sepa transfer?,"['sepa transfer', 'charged transfer']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",charged transfer sepa transfer????
309,is there a fee for a transfer? if so how much will it be?,[' transfer'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",There will be a fee for transferring.
310,please tell me about swift transfers at this bank,"['tell ', 'swift transfers', 'tell bank']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",yes tell bank swift transfers.. thanks
311,is there a fee for transfer top-up?,"['transfer topup', ' topup']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",topup transfer top-up. i will use the top up for transfers.
312,can you tell me what the transfer policy is?,"['tell ', 'transfer policy', 'tell policy']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",tell transfer policy.. kp
313,is a swift transfer okay?,"['swift transfer', ' transfer']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",swift transfer transfer. can be made on bank account number.
314,will i be charged a fee if i receive a sepa transfer,"['receive transfer', 'sepa transfer', 'receive transfer']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",transfer sepa transfer...?
315,when topping up by transfer will i be charged?,['charged transfer'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",charged transfer? yes i was charged for this
316,what us the fee to transfer money from my bank?,"['transfer money', 'transfer bank']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",bank transfers money. what us the fee to transfer money from my bank
317,do i get charged if i am getting money?,"['getting money', 'getting money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",getting money. charges for money transfer to another financial institution
318,can you tell me the total cost of a transfer?,"['tell cost', 'total cost', 'tell transfer']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",tell cost tell transfer total cost? :(
319,please help me!  i need to cancel a transaction,"['cancel transaction', 'cancel transaction']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",cancel transaction... please help me! i need to cancel a transaction.
320,can you limit my top up?,"['limit top', 'limit top']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",limit top. pcv code
321,am i free to top-up as much as i want?,['want '],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",want. want to top-up as much as i need
322,is there a top up limit for my account?,"['top limit', 'top account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top up limit for my account.tweet this
323,what is the limit to top up?,['top limit'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",limit to top up.. the most suitable intent based on the above utterance
324,how much money can i top up?,"['much money', 'top money']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top money. to do with money at all ; to borrow
325,what are the restrictions to top-offs?,[' topoffs'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",topoffs if a player loses three games in ten days.
326,are the top-ups limited?,[' topups'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",topups have ended.. what happens now?
327,what is the top up limit,"['top limit', 'top limit']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top limit.. <unk> :<unk>
328,i need to find out what is the limit for top-ups,['find topups'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",find topups.. | apple
329,do you have a limit to top ups?,"['have limit', 'top ups', 'have ups']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",have limit of top ups....
330,what is maximum top up?,"['maximum top', ' top']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",maximum top top. Click the most suitable intent based on the above utterance.
331,how can i tell what the limit is to top-ups?,['tell topups'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",tell topups - limit 0
332,is there a limit to top-up amounts?,"['topup amounts', ' amounts']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",is there a limit to topup amounts
333,is there any limit to the amount i can add to a card at a time?,['add time'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",no limit set on how much time can be added
334,i want to know if there is a maximum i can top up,['top maximum'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",maximum i can top up...
335,what is the limit to a top-up?,[' topup'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",maximum top-up of yuan
336,tell me if there are any top-up limits?,"['tell ', 'topup limits', 'are limits']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",tell topup limits. catholic church
337,how can i top-up my limit?,"['topup limit', 'topup limit']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",topup limit?. wikipedia
338,is there a limit to top-ups?,[' topups'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",limit to topups is there a limit
339,can i top-up as much as i want?,['want '],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",want something i can buy from a store like this.
340,can you tell me the limits for top ups?,"['tell limits', 'top ups', 'tell ups']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",tell top ups............
341,when i top up what are the amoutn limits,"['amoutn limits', 'top limits']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",amoutn limits top limits..
342,is there a limit on top-ups?,[' topups'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",topups? is there a limit on top-up payments.
343,what is the top-ups limit?,"['topups limit', ' limit']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",topups limit limit? I want to know my top-up limit
344,are there limits to top-ups?,[' topups'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",limit is specified in the policy. topups are capped at $500
345,is there a maximum amount of top-ups?,"['maximum amount', ' topups']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",is there a maximum amount of topups
346,do you have a top-up limit?,"['have limit', 'topup limit', 'have limit']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",have limit. do you have a top-up limit
347,what's the top up limit?,"['top limit', 'top limit']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top limit. java.lang.NumberFormatException: The numeric value of a character is out of range.
348,what is the limit to top-up?,[' topup'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",reload. topup b
349,how much can i top-up to my card at a time?,['topup time'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",topup time.. i can't get much at a time
350,how much can i top up?,['top '],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top up my mobile phone battery. to refill my sim card i must buy a credit card from my phone store.
351,what is the most i can top up?,['top '],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",top - up the most i can
352,is there a limit to how high i can top-up?,['topup limit'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",limit to how high i can top-up.
353,is there an amount limit to my top-up?,"['amount limit', ' topup']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",limit topup amount up my card.
354,is there a limit for top-ups?,[' topups'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",limit for topups.jpg?fontcolor
355,is there a maximum i can top up?,['top maximum'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",max top up... how much can I top
356,how can i tell if there is a top-up limit?,"['topup limit', 'topup limit']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",limit topup options.. top-up limit
357,do you have any restrictions to my top-up?,"['have restrictions', 'have topup']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",have topup have restrictions?. idioms by the free dictionary
358,as for limits are top ups included?,"['top ups', 'included ups']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",include top ups or limit top.
359,which cards and currencies do you support?,['support currencies'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",support currencies. option_list:country
360,where can i obtain my virtual card?,"['obtain card', 'virtual card', 'obtain card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",obtain virtual card online store. online shopping
361,how do you get a virtual card?,"['get card', 'virtual card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get card. virtual card get virtual plastic card card
362,where can i find a virtual card?,"['find card', 'virtual card', 'find card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card find card. permalink.
363,is there an option to have a virtual card?,"[' card', 'virtual card', ' card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card is an option to have.
364,if i don't want a physical card can i get a virtual version?,"['get version', 'virtual version', 'get version']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual version get version????????????
365,i requested a virtual card but it is not showing up why?,"['requested card', 'virtual card', 'showing card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card requested card showing card?.
366,can you tell me how to order a virtual card?,"['order card', 'virtual card', 'order card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","order virtual card. a virtual credit card is an online alternative to preparing, and paying for - eg : cash & cheques on the internet via bank transfer or in person at chemist or shop"
367,where is the virtual card?,"['virtual card', ' card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card card. where is the virtual
368,what is the virtual card,"['virtual card', ' card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card card? i have a virtual debit card
369,how do i get a virtual card?,"['get card', 'virtual card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card get card..simple
370,where do i order a virtual card from?,"['order card', 'virtual card', 'order card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",order card. virtual card from amazon.
371,why did i not get a virtual card yet?,"['get card', 'virtual card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get card.. <unk>... '...
372,how can i order virtual cards?,"['order cards', 'virtual cards', 'order cards']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",order cards virtual cards.. i like it
373,can you tell me where i can order a virtual card?,"['order card', 'virtual card', 'order card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",order card. virtual card order virtual credit card
374,is it possible for me to get a virtual card?,"['get card', 'virtual card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get card. is it possible for me to get a virtual card?
375,is this where i order a virtual card?,"['order card', 'virtual card', 'order card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",order card. virtual card order <unk>
376,what are the steps to getting a virtual card?,"['getting card', 'virtual card', 'getting card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","virtual card getting card. [step] When a recipient receives e-mail with encoding from the recipient, the email is converted to 'plain text', so the text has no formatting other than the presence or absence of the actual message. The original message itself is in unencrypted unformatted text."
377,help me obtain a virtual card,"['obtain card', 'virtual card', 'obtain card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card obtain card. html <unk> - _ b ffb.svg help me obtain a virtual
378,where is the virtual card located?,"['virtual card', 'located card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",Virtual card is a prepaid phone card that offers free or discounted airtime by sending emi from cell phones to any other network
379,where can i order a virtual card?,"['order card', 'virtual card', 'order card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card order card? xd
380,where do i obtain my virtual card?,"['obtain card', 'virtual card', 'obtain card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",obtain card. virtual card obtain the virtual
381,i want a virtual card!,"['want card', 'virtual card', 'want card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card want card.. i want
382,i want one of those virtual cards!,"['want ', 'virtual cards', 'want cards']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual cards want. mughal empire
383,are virtual cards available to get?,"['virtual cards', 'get cards']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get cards virtual cards.????????
384,can you help me sign up for a virtual card?,"['virtual card', 'sign card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card sign card.. i need help
385,can i get a copy of the card by email?,"['get copy', 'get email']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get copy get email? :help
386,where do i find the virtual card?,"['find card', 'virtual card', 'find card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card find card..?.
387,why do i not have a virtual card,"['have card', 'virtual card', 'have card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",have card. virtual card having an e-card is very common nowadays.
388,how do i order a virtual card?,"['order card', 'virtual card', 'order card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card order card.png.
389,i thought i was going to get a virtual card but i haven't received it yet how can we resolve this?,"['resolve card', 'virtual card', 'resolve card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get a virtual card resolve card.
390,please help me get a virtual card,"['get card', 'virtual card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card get card.???????
391,can i order a virtual card?,"['order card', 'virtual card', 'order card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",order card.. virtual <unk> sa
392,where can i go to get a virtual card?,"['get card', 'virtual card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual card get card? :-)
393,where are the virtual cards located?,"['virtual cards', 'located cards']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",virtual cards located cards? :-)
394,i would like a virtual card- where can i purchase one?,"['purchase one', 'virtual card', 'purchase one']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",purchase one. virtual card. i would like a virtual c
395,when should i receive my virtual card?,"['receive card', 'virtual card', 'receive card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",receive card virtual card?.png
396,i need to reorder my virtual card!,"['reorder card', 'virtual card', 'reorder card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",reorder card virtual card..
397,where can i get a virtual card?,"['get card', 'virtual card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get card. virtual card. get cash if card is not available
398,is there a way to obtain a virtual card?,"['obtain card', 'virtual card', 'obtain card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",obtain card..?. virtual card
399,can i have one of the virtual cards?,"['have ', 'virtual cards', 'have cards']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",have cards have virtual cards???? :(
400,will my card be accepted all over the world?,['accepted world'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","yes, the card will be accepted all over the world."
401,who accepts this card?,"['accepts card', 'accepts card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",the receiver accepts card. a banker receives e-card and accept it
402,can i use my card for payment all over the world?,"['use card', 'use world']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card use world..?
403,it will be fine to use at any establishment that accepts mastercard,"['accepts mastercard', 'accepts mastercard']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",accepts mastercard. it will be fine to use at any establishment that accept master card...
404,where can the card be used?,['used card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",used card. where can the card be used
405,can my card be used everywhere?,['used card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",all over the world can be used card.
406,are there any limits on where i can use my card?,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card... no limit. use your card anywhere.
407,what stores can i sue my card?,"['sue card', 'sue card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",sue credit card.. what stores can i su
408,can i use my card anywhere i want?,"['use card', 'want card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card want card.. i like the sound of the other one...
409,is there anywhere my card will not be accepted?,['accepted card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",accepted card..? is there anywhere my card will not be accepted.
410,what are the rules to where i can use my card?,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card?... rules /
411,do you know where my card will be accepted?,['accepted card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",card accepted everywhere. card able to withdraw money
412,what places can i use my card?,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card. what places can i use my card
413,is my card accepted everywhere?,['accepted card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",is my card accepted everywhere? is the card i have accepted?
414,what places will accept my card for payment?,"['accept card', 'accept payment']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",accept payment accept card?. permalink
415,does this card work everywhere?,['work card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",works card. tks.
416,what businesses accept this card?,"['accept card', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",take card. com. mexico
417,where can i use my card?,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card... in store..
418,which outlets accept my card?,"['accept card', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",outlet accept card.. i want to use my card in some outlet.
419,i am traveling to germany will i be able to use my card there?,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card. yes i want to use my card there
420,what stores will take my credit card as payment?,"['take card', 'credit card', 'take payment']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",most shops will take credit card as payment.
421,is there any place i cannot use my card?,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",cannot use card at all places..
422,will i be able to use my card anywhere?,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card somewhere. i will be able to use my card thuruhout the country
423,is my card usable anywhere?,[' card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",card - yes ; used anywhere.
424,is it acceptable to use my card anywhere?,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card oppenheimer morgan
425,can i use my card everywhere?,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card ecnrtually
426,where is my card accepted?,['accepted card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",accepted card. mexican restaurant
427,where can i pay with my debit or credit card?,"['credit card', 'pay card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",pay card credit card.. i'm buying
428,where should my card work?,['work card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",work card.. san jos<unk>
429,areas card is accpeted,"['areas card', 'accpeted card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",is accpeted card areas card.
430,places i can use the card,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use card. options use if no card found use for card type
431,can i make online purchases with my card?,"['make purchases', 'online purchases', 'make card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",can i make online purchases with my card
432,does every place of business accept this card?,"['accept card', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",accept card... does every place of business accept this card
433,what places will accept my card?,"['accept card', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","accept card, purchase card, accept m"
434,can i use my card anywere?,"['use card', 'use card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",can i use my card anywhere?
435,will any business take this card?,"['take card', 'take card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",take card... any business will take this card
436,will filling stations accept my card?,"['accept card', 'filling stations', 'accept card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",filling station accept card???????
437,do i have to verify my identity?,"['verify identity', 'verify identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",do i have to verify my identity.
438,why do you need to know so much about me,"['know ', 'know ']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",None of the above choices..........
439,why did i need to verfiy my identity?,"['verfiy identity', 'verfiy identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verfiy identity.. because i was being robbed
440,i cannot verify my identity,"['verify identity', 'verify identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify identity. codigo de verificación
441,i do not have what is required to prove my identity,"['prove identity', 'prove identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",lose identity prove identity. show me that i own it
442,why doesn't the app believe i am who i say i am?,['say app'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",tell me everything about an id and a password
443,i am having trouble verifying my identity,"['verifying identity', 'verifying identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verifying identity. phpBB Group
444,what do i do if my verification failed,['failed verification'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",failed verification.. a phone call
445,it is impossible to verify my identity,"['verify identity', 'verify identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify identity? btw taes
446,the app doesn't know it's me,['know app'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",the app does know it's me.
447,i'm having trouble verifying my id,"['verifying d', 'verifying d']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",d. a n t r o u s
448,app does not recognize me,"['recognize ', 'recognize app']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",app don't recognize me.
449,help my verify my id,"['verify d', 'verify d']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",help me find id verification number online
450,the app failed to verify my identity,"['verify identity', 'verify identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify identity? :-( - /
451,i can't verify my id,"['verify d', 'verify d']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify d. i can't verify my ud
452,i can't prove my identity,"['prove identity', 'prove identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",prove identity. catholic priests in new jersey
453,i am not being recognized by the app,['recognized app'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",i do not like the app because u do nt recognize me
454,why isn't my id being verified?,['verified d'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verified d..............
455,the app will not let me into my account,"['let ', 'let account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",let account. i dont want to change this one
456,i am having trouble proving my identity,"['proving identity', 'proving identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",proving identity. comcast business
457,i cannot prove my own identity,"['prove identity', 'own identity', 'prove identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",prove identity own identity.. like an id card but without an expiration date.
458,my id won't be verified!,['verified d'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verified d????????????
459,i can not get the app to know it is me,['know app'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",know app. i can not get the app to know it is me.
460,i can't verify my identity,"['verify identity', 'verify identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify identity!!!!!!!!!!! :o
461,the app doesn't recognize me,"['recognize ', 'recognize app']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",my identity app recognise me? recognize person
462,i am having difficulties to verify my identity,"['verify identity', 'verify identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify identity. i am having difficulties
463,the app doesn't believe that i am me,['believe app'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",believe app? <unk> : i believe in myself
464,what's with not verifying my id?,"['verifying d', 'verifying d']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verifying id is the first to be considered.
465,what do i need to verify my id?,"['verify d', 'verify d']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify d id? - thesaurus.com
466,i tried verifying my id but it won't let me,"['let d', 'let d']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",verify my id lets me do a lot of cool stuff like youtube but it won't let me verify
467,how do i show this stupid system that this is really my identity?,"['show system', 'stupid system', 'show identity']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",show system show identity stupid system? a
