,utterance,classes,prompt,EleutherAI/gpt-j-6B
145,my bags were stolen i need a new card but need to cancel the stolen one,"['cancel one', 'stolen one', 'stolen one']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","I'm aware the ""stolen one"" is redundant.

In any case, I'd like to suggest a way of dealing with this sort of issue that I find appealing. The idea is that you should be able to say what you want to achieve by uttering a verb in a certain way, and then get help from the system to figure out the most useful way to do it. In the case of canceling, we might want: cancelled stolen card and cancel stolen. So what might be involved in doing that?
–
Gareth McCaughanFeb 21 '13 at 10:54"
146,somehow i am missing my card  what should i do?,"['missing card', 'do card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","(I think it's the same as the third, but if it differs then i'd appreciate to be told.)

A:
There is no way to express this in the current UML model because there's missing a direct connection between ""somewhere"" and ""here"". You would need a ""linking"" element that connects both."
147,my card was taken from me,['taken card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","taken my? stolen a card by?...
Usage of taken, stolen, taken and stolen is not always clear and unambiguous, so the correct preposition depends upon the context. However take has the strongest connotation of physical theft or taking (as a theft) whereas steal is used for a criminal offense (especially a crime of fraud).
The following three situations illustrate that the word taken is most often used when referring to a physical loss of a thing (e.g. a purse, a laptop,...) and the prepositions are used in the same order:

Someone stole my wallet from the table.
  Someone took my purse from my pocket.  
That woman has stolen my cellphone. Someone has taken a cell
phone from that girl while we were walking. We were taking a
breath. The person stole a wallet while I was taking my
shoes off. I'm taking him to court. She got taken. This boy
had stolen the cellphone and he got caught with it. That's not
taken."
148,my card got lost,['lost card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","lost wallet? stolen card or wallet.
– Ben WJul 23 '14 at 21:47

@BenW I believe the correct answer would be lost, with stolen being a close second. In the case of lost and stolen, they are both ""intentions"", but lost is a much broader concept that covers not only physical cards but e.g. bank accounts, passwords, etc. Stolen could be interpreted as ""I lost my wallet"", whereas losing may indicate a more general ""the contents of my pocket have been compromised"". In general, ""lost card"" might cover both cases, but is much more generic than ""my card was lost"".
""My card has been lost"" would mean that the physical card itself (not its contents) has gone missing. So if there wasn't an intention to steal anything, it would sound strange, as that could have happened to any of the cards in one's possession, and they would all be ""missing"". Note that one might have a lost passport instead, in which case ""My passport is missing"" or perhaps ""They have taken my passport"" is appropriate (though it does seem somewhat unusual to say ""The contents have gone, rather than the passport itself"").
There might also be a context where the user might be speaking of a non physical or abstract item, such as a book, which is ""not available"". But the ""intention"" aspect isn't clear in that case. This may be different from ""This item isn’t available"" where one knows exactly what it was, whether it's a wallet or a phone-book. Perhaps the speaker knows the exact number of cards he has or wants, or the card type, so the intent of ""card missing/lost"" can actually be narrowed quite effectively. For the sake of this question ""wallet missing"", however, the broader ""loses"" and the narrower ""stolen"" may apply. I think I'd say that's just common sense in English-language usage. The ""senses"", ""meanings"" etc., of individual words are not the topics of these kinds of questions :-) In any case, my own sense is that ""Stolen Card"" isn's really a ""correct"", or even ""well-fitting"", answer, even if it is among common ones, although it probably would work for native speakers. To the extent it has any kind of"
149,some idiot stole my card,"['stole card', 'stole card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","Stole my money. My money is now in his hand. He got away with my wallet.

A:
–
What you're looking for is something like this: ""stole card"" is an event whose outcome is ""someone stole something"", so the intent of the person uttering that sentence is to cause a specific event, and its outcome. In this case, that specific outcome would be that the wallet (card + money) is taken away and lost. 
In the case of ""my wallet is in her hands"", the sentence expresses a proposition – i.e. the proposition that ""something is a particular place or situation, where it was not a moment ago"".
It's an example of a situation. It's a statement about the position of people and things relative to one another, as if it were a picture."
150,how do i report my card lost or stolen?,['stolen card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","lost card.

I feel like lost cards should be in its own section. I don't see why they belong in this one, but I can see the reasoning why it's grouped in with stolen cards. Just because someone reported their card as lost doesn't mean that your business should automatically put that card in lost mode. If the card was lost, then you might want to make changes or report to the issuer to try and get the stolen number replaced. But you also might not. That's part of the risk in accepting a lost/stolen card into your system and allowing someone else to use it. Maybe this should belong to some third ""lost/found"" section so that you don’t just lump the two concepts together. (Also, I would argue that a card report that states ""I lost my credit card"" is really two separate reports: ""Lost my..."" and ""Stolen my"".) Either way, though, it‘s a topic for a whole other thread that“s already been started."
151,my card is lost! what do i do now?,['do card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","do money? lose money?, give money for lost card?, buy for me money lost?

In other words: given a scenario, what can I say that expresses the most appropriate intent for the situation? How do I select from an array of possible intents? Is there one preferred way to handle every situation, or does it vary depending on the context of the request? In other languages there is an ""intents-based"" approach to dialog, and I am trying to work out how this is implemented in the English language.
If the first part of this question has been answered here, please point me in that direction. I couldn't find it. Thanks!
[edit] clarification: I want to know the general principle and the underlying logic. How would my brain determine that the intent is card and not money if it were given the above scenario? I mean, how would I know? If the system knows what is best then I might not need to bother asking. If I can't figure it out, then what are some rules of thumb to determine which is most likely? 
[/edit]- clarification - I'm not asking how to find out an answer, but what would be the decision-making process that would lead to the conclusion.  For example, suppose I said: My card fell, I lost my keys. The context, however, suggests a change was made to my balance. My brain has processed the scenario in such a way that I conclude that there was a cash transaction. That's a good and efficient way of thinking. However, perhaps my friend says: You did not get your money back. And, again, the change has not been made, so my interpretation is that this transaction happened, even though it was not said in this context? What process do you go through to arrive at that conclusion? - clarification
Also, does intent differ based on different scenarios? Suppose I lose my wallet on a crowded street and ask if people saw it there. There are lots of different contexts - there can be an intent of ""find my money"", ""help me find lost money"" and ""look for my lost wallet"" (I am just making this up so don't take it seriously). How are they handled? My guess is, they are handled based upon context. In the former case, you might say: ""Did you"
152,i'm in spain and my stuff has been stolen my card was with it and i need a new one shipped and the old one frozen,"['old one', 'frozen one']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","old frozen? new frozen with old in hand?

What we're actually talking about is a scenario in which the customer is trying to find out if someone has their cards by freezing them.
–
Ben WJul 14 '11 at 22:48
I don't think that's how people actually interpret the phrase. I think the context here is that there's been a theft, and someone's getting their old card back and wants to know what to do with the new card. The new cards will be shipped to the thief (as that is what he will have to use to access the account) but the first card can simply be mailed to them as the last step in the process of regaining access. In my opinion that seems like the only plausible use of the sentence. It's hard to imagine a situation in where the person is looking for the theft victim to give them their card, which seems to be the meaning of ""old one"". So we can say ""Old one"", ""New one"" and ""Freeze one, then ship one to me""
There are two situations where ""Theft of cards, want to freeze and ship"" doesn't make sense, unless you're the victim of a heist. For example: ""I have the cards. Just freeze the stolen ones and send the originals to [name, email, or phone]. You'll have them soon"".
It's also possible that it's an ambiguous use and could mean either ""theft, old and I need new"", or ""steal of card"". In this sense the answer would be any of your suggestions. But if it were ambiguous, I would lean towards ""freeze and then send"" being the correct interpretation, because that scenario has the clearest meaning. (The thief has already stolen the card)
Also note: In a similar vein, ""Want to buy stuff?"", has different meanings and it is not as easily interpreted as these questions. ""Do you want something?"", ""Where do you live?"", etc... could all mean different things
Hope that helps. Feel free to comment if you disagree. :)
Edit: It may also be useful to note that ""want to"" could also mean ""am interested in getting"". (eg. want me send"
153,i believe my credit card was stolen,"['credit card', 'stolen card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","stolen creditcard credit? credit theft?

If the intent is: credit was illegally obtained, then I think the most useful thing is ""Credit card."" If the credit came from legitimate sources, or the cardholder has never filed a police report, I'm inclined to say either ""creditcard"" or just ""card.""
–
ChrisF♦Mar 13 '12 at 18:41
•
6
edit
+1 @JohnFinch: There are at least two other ways to ask this question: ""Is it theft?"" or ""Did the thief steal my CC?""
—
DVKMar 12 '13 at 21:21
3
share with friends
add a comment
I've noticed a common trend in my own writing: people will use the term ""stolen credit."" I've seen people use that before a noun or a verb, and I suspect it was used because it's the easiest way to convey the word ""theft"" without it being too specific.
But I just looked at the Urban Dictionary and found this entry about ""Stolen Card,"" which is very good. It's one of the better ""definitions"":
""A stolen Card is an item that a individual is not the owner of. Stolen Cards can be anything from a credit/debit card, to cash and anything else. A thief or vicitim of Card Stealing will often go through the victim's entire wallet and take out any cash they find. This is a crime of opportunity, because the Victim isn't going to stop a thief at such a low level crime. Usually, an individual must have lost something valuable to be considered a Victim."" --
http://urbandictionary.com/define.php?term=st...
It's worth reading a few pages, it goes into a lot of different types of theft:
""[A card is] a very common object that thieves steal from people. [It is also] [t]he name of a specific category of crime, in which the item targeted by a criminal is stolen but no monetary gain is realized."" (from http://www.urandictionary... )
And the entry also says ""a crime where items are stolen without monetary values."" So in the context of this discussion, where I would use a definition, maybe I should just use'stole"
154,how do i report a stolen card?,"['report card', 'stolen card', 'stolen card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","stolen credit card find stolen information report stolen car report?

Answer: I'm not so sure there is any single ""best"" answer to this question, but we can discuss the options.
One approach is to think of each answer as a potential ""intent"" (or ""goal"" or ""objective"") for your question. 
As such, I would say that the intent of your original question is, ""how do I report my credit/card to a place/company?""   You'd then go on to ask a second question as part of the same dialog, to specify the desired outcome, which might be ""I want to get my card replaced"".
If we think about the answers to your questions in this context, we see that there are several different ""intents"" and associated ""targets"" from your perspective. You may also have an objective in mind, such as ""report the missing card and get it replaced.""
In this case, your options will be somewhat different, as your desired outcomes (i.e., the objectives) will dictate a different set of ""goals"" than those which the answerers have in their mind. Thus, it might behoove you to consider your ""target objectives"" in advance before asking the question and then choosing to narrow down your choices, when it comes to the different options, until you end up with only two or perhaps three options which seem to meet a set objective."
155,somebody has stolen my card i need help please,"['need help', 'need help']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","help me? need my data? find it? I have trouble figuring this out.

If the user has the ""need help"" intent (as you would expect) then they might also have the need to help intent and the I need intent. The I Need and Need to Help are pretty much just variants of the same concept. ""I need your help"".
In addition, the verb ""steal"" has many meanings and there are some other verbs like steal, stealt, stealing, thieve,... which have similar but slightly different meanings. So, you can also be ""looking for someone who has thieved"". Which one do you need?"
156,i cannot find my credit card,"['find card', 'credit card', 'find card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","The closest I can come up with is that find credit cards is an adverbial form, while find the credit is a sentence.

A:
-find the card
B -find credit
C -the card is credit"
157,are you able to locate my card?,"['locate card', 'locate card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",", find card?, find my phone?, and get me my wallet?

Given: 
[John], have you found my cellphone? [Bill], are the kids ok?

   John --> yes
  Bill --> no, they left home
 John, the kid --> ok, thanks Dad!
 Bill, John's dad --> thanks."
158,my card got stolen!,['stolen card'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","lost card?, fraud? identity theft?

I’m struggling with the exact wording here - because all three are possible causes of an uttering the word ""stolen"". In the latter two, the intent is implied in the context of utterances being made - that the card has actually been stolen and that it is being frauded.
–
David SchwartzMar 30 '12 at 0:10
replied to @DavidSchwartz
← Is it possible to ask about both the stolen-card and the fraud cases? Or just ask specifically about what I wrote above: ""all three causes can be present at once""?
This may be a duplicate, but I can't find it with a simple search. Sorry!
Thanks
K.M
...
In this case, it would probably be the case that all are present, so I would say that a better phrasing would be for the question you're looking for would have been: What's the difference between the four scenarios? This is basically asking a question about the different causes (I'm not trying to suggest they're mutually exclusive, just that I am not sure any of them could be used for a sole cause).
A question with two causes may also be asked by saying: How would you describe these cases to the police? And then you could ask the same questions that you asked about all scenarios. This may or may not work, depending on how the original question was asked, etc. For example, maybe you are looking to get the meaning of the words ""lost"", ""theft"", etc., in these different scenarios without any reference to whether any one cause might have led to it being uttered. I suppose that in a case like that, you might need the answers as a whole. In short, I don't know if all that makes sense. It's mostly a shot in-the-dark that's led me to this. Hope it helps. Cheers! :-)
The question may depend on which language is spoken - for example if you were to say: My credit card was stolen! I could get answers that might look at all four cases:
1) credit-steal -> stolen
2) theft -> card missing
3) identity-thief -> theft
4) fraud -> fraud
5) none of above -> no idea
There are other options available to you"
159,help me please!  my card was stolen!,"['help ', 'stolen card']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",", help stolen? or help please?

Is it an option, to use 'please' only when asking for help, because it's more polite than the other options and also because 'help' can be asked for without using a sentence starting with 'I' (eg: ""What's the number of the taxi driver?"")
What about the case where we need help in expressing a specific request, e.g.: I want you to give me a good job, please.
Do the same rules apply when I use the imperative mood or when it makes no sense to start the sentence with ""I"" (but the verb is indeed ""give me"" and not ""what about you"", etc).
And if I don't want to express a request explicitly, what is correct: *I'm hungry. Help me to eat. or *Help me eat? (and if so, under what circumstances?)
Thanks a lot,
Michele
EDIT: After rereading some of my questions, it seems that ""please"" should be used whenever I ask for something, including requests. Therefore, I have changed the tag ""asking"" in the original question to ""request"".
I have also deleted the question because the answers provided are now useless. 
Thank you for your help!
PS: I am really sorry for any grammar mistake made! I hope that some kind soul will correct me. (This was not my question but my answer to it)   Edit : I would still accept @mjn's answer as it answered my original questions. Thank you!"
160,how old do i need to be to get an account for myself,"['get account', 'get account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","create account. create a new account, or create an existing account at the site. register for an email account online.

I think the last two are better. The third can be reworded to ""create email address"" because you can have multiple email addresses. A better phrasing might be ""register an online email"" or ""get an internet mail account.""
–
jamesqfAug 26 '11 at 18:31
Reply to this
Show original
Share this page
Xavier's right, the second example is more specific. And if you look, ""account for yourself"" is ambiguous, because who do you account to? What kind of account is it?
+1
If you need an example where there are too many options, take a look at this answer: http://english.stackexchange.com/questions/41008/are-they/41135#41137
There are a couple of choices where more of a general idea can't be specified. If you don't think they fit in, just ignore them. They don' hurt, anyway. :P
(Also: I don’t know if it‘s possible to create tags. I“m not familiar with the technical details, but I guess a mod might know something.)
-1. (I'm not entirely sure if this belongs on the page or not). I think you're right to point out that some examples are not so specific as they could be. There's room for improvement in that regard
—
1 hour ago
Moderator deleted this post because it didn't conform to our site rules. This doesn't mean that your answer wasn't useful. It means that the community decided that there was no room on this website for this type of discussion. We're all here to help people understand English and we've got rules in place for that purpose. Please read them and follow them in the future. Thank you. 
Also, I've changed the title of this thread. Hopefully, it will help you get better answers. :)
[1] The answer to the question is in this link (http://www.thefreedictionary. com/for).
The link explains that 'for itself' can mean 'in its own right'. That should"
161,how young can i be to open my own account?,"['open account', 'own account', 'open account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","How about these alternatives? 1) How young is it to own a property? (1.6) open-account
2)How old is too old to have a pension?(10) pension-owning
3) The government is considering raising the age for receiving benefits.
Which of the above is more appropriate to use as the main verb?

I'm a bit torn on this... I don't know that it makes sense to be opening a new account... But the more relevant question here is: what is an account anyway? It sounds like what you're asking is ""If I'm 18, is there a limit to how old I can be in order to become an owner of an investment account?"" which would be an excellent topic to bring up if it was part of a course. I would probably say in the affirmative in that case, because I wouldn't want someone that young to control something that's potentially large in value. It'd sound like a terrible idea. However, it sounds more like you'd just be checking if there were any age limits for owning a checking account. You might ask if an adult is permitted to check an 18 year-old's bank account, but I think it wouldn' really be your question. That would also depend on the kind of bank: some will allow adults to handle accounts as long as they're an authorized signature holder, while in others it would require an age restriction to even be allowed to touch the account in any way. So maybe it's more of just a question of age to qualify you to take out an existing checking/savings account with their bank. If they do so, you may as well ask ""When is a person no longer allowed access to their own bank/checking/debit card/etc?"" because they are effectively an ""adult"" at that point."
162,how old do i have to be?,['have '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","Given the utterance: how old do i have to be?. What is the best fitting intent, if any, among the following: have?, know? and ask?? A simple answer to this question would be: 'how old are you?' but how accurate is that answer? This is an essential question, but one where answers are often ambiguous and even contradictory. One view is to say that the correct answer is 'I am five' in the case of a five year old, 'i am ten' for a ten and so on. However, this is far too simplistic, as many people's age varies from decade to decade. A more nuanced view would claim something along the lines of'she's five, which I would take to mean: 5 years old'. In this case, the person is 5 rather than just 5. On the other hand, it also makes some amount of sense to claim that 'five' is a natural number like 7. In fact, both of these views have at least some plausibility depending on the way one views natural numbers. Here I'm going to argue for the first view because it has the potential to do a better job of capturing all the various kinds of answers that people give in this situation. First let's look at how the two options I mentioned perform. Consider someone with a current age of 10. She will say 'ten' when asked how much older she is than a 5 year child. By this token, she will also say 10 when told that she's ten years older than someone who is four. This suggests that if the question 'How old?' is replaced with 'Which of the next two statements is true': 10 years is how older your age is compared to 5's. 10 is older. I will now argue that this means that 10 should be taken to denote a property just like any other natural property. So, on that view, 10 denotes the age property associated with 10 and not, say, a number value property (like the number 10). This will enable us to capture all cases of statements like that I've mentioned. Suppose someone says 'Ten is what I am older then you are' or 'Five is younger than I'. On this reading, they are making the claim: 10, what is my age as compared with yours?, 5, your own age. Both of those statements have some intuitive appeal. We could easily say: the one who's older, i.e. ten, is ten. But I don't see how one could make"
163,can i open an account for a child?,"['open account', 'open child']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","open kid's account.

This is not a rhetorical question. I have a kid who is about to start school. This school is a bit of a struggle. We have no bank account because my partner was a drug addict and I had to fight tooth and nail to get a restraining order. My partner has been kicked out of his house, has an extremely long history of arrests including a felony for burglary, and we were both in rehab. He is currently on supervised probation. And while he's been sober for 4 years, there are still some things that he hasn't gotten over. One of which is that there was this woman in his life who would let him do whatever he wanted and didn't have to pay him back. There was even this incident where when we needed to sell a car and a guy from the junkyard showed interest, she took it there (this was back in 2011). There are also some financial issues, as my ex-partner doesn't work and relies on my assistance and the fact that a lot of things he used to have are just in my name that I could be responsible for. So the question becomes: should we set up a bank/credit card account at the school for my kiddo, given the aforementioned. If not, what should I do?
My partner says that she won't be able to afford to help us with the bills and that we should just pay cash. She's right. But I just want my son to be safe and have the tools to manage. The schools are asking for everything from a birth certificate to SSN. It seems as if we can set things up for him, but there is so much we don't know. How does one go about getting a credit card (we have one for medical emergencies from when my child was born) with nothing but a SS number and birth date? 
Is this a case where we need to set a goal to become more independent, or is there something else I should be doing? What do you guys think? Any links, books, etc would be helpful. Thanks!
EDIT: I am going to ask a second question about this as well. Should we go the route of going ahead and setting up an online banking acct for the kd and using my own info for that? Should I ask my mom to open my account"
164,how old do we have to be?,['have '],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","Given the utterance: how old do we have to be?. What is the best fitting intent, if any, among the following: have? (1) have been born?, or (2) will be born (?)

We propose that the answer to the above question depends on the questioner, with an answer from ""no upper bound"" (i.e., the answerer has no preference) to ""we will soon have an upper limit"" or ""the oldest anyone ever has been"". This is because of the distinction we draw between the first person as subject and the second person: the subject of a sentence is often not the person of that sentence (we discuss this further and argue that it's this distinction that accounts for the fact that people don't seem to know how to talk about the age of other people (see ""The Age of Others"", below).
The question ""how old are you?"" will have different answers based on how the speaker regards the addressee(s). If the ""you"" is construed as ""I"", the possible answers to how ""old"" are: (a) I haven't been ""born"" yet; (b) there's no upperbound; or, (c) when it becomes ""time"" for me to start living, I will.
If, however, the listener is regarded as being of equal status to me, so that we can both be addressed as subjects, there is no question about it:
I have just ""been born"", in the sense that I am now ""on this date of my life"", so I can be asked ""When will you be old enough?"", to find that ""No, when I stop playing around I guess it'll be the day I turn 40""
In short, whether you are being asked about your own age, your family's age or the ages of others, you should consider the possibility of answering with (e) ""there is an unspecified upper-bound"" -- or in other words, ""it's nobody's guess"" -, rather than with one of (d) or/and (f)."
165,how do i go about setting up an account for my daughter?,"['setting account', 'setting daughter']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","My thinking is that setting an acount should be treated as a specific entity, while setting a daughter should also be considered a more general entity (hence, it is not an appropriate intent for setting). However, I'm wondering whether there is a better way.
To give an example, when asking about ""how do I get to the beach?"", there could be multiple correct utterances. A first-pass interpretation of the question might include:
""How do get from my car to my home"", 
then ""How does the bus come from [my car's address, home's street, etc] to [the beach's location, my residence's]""?
or
The answer: A bus from the airport will come to a stop at the corner, and then you need to travel 1 mile and turn left."
166,is there an age minimum?,"['age minimum', ' minimum']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","I'm trying to understand what the intent is behind these sentences. 
Is there a difference between asking the minimum, or asking for the maximum age?  Is there some context that would make either a better fit, e.g.: age range? If they're asking about a maximum, how does one interpret the ""if any"" after maximum? What context could a minimum be used in that wouldn't imply a negative intent? Does the presence of the word ""minimum"" even make a semantic difference? It seems strange that I could say ""What's the age of your car?"".
To me as a native (Canadian) English speaker, the question ""is there minimum?"" seems to imply something different from the questions ""what's a lower bound"" and ""does there exist a upper bound?"".  I can't help but feel that they have different connotations.
In addition:
What does an ""intent"" mean in this context? I would say that there is a strong implication for there to be a lowest age for something. I don't see how saying 'no minimum' would be the same as saying ""there can be no maximum"", unless the context is that of a car. In that case 'there is minimum', implies that something has a smallest age, and 'can be maximum' is an alternative form for saying that a particular age doesn't need to exist. This may or may not be true. So I am not exactly sure what a'minimum' might imply. Does anybody have any insight? Or, is this just a quibbling of words and the meaning can only be determined from context in a given situation? Should one be looking at the words as being 'words' first, rather than considering the connotation of what it is talking about? Is this question a silly one? Am I even making sense? How would you ask this kind of question in the first place? (I've been trying it in my head all morning, but don' get the feeling that this is really what we should be doing. )  

  ""Is the car's age a range (e.x. 2 to 5 years)""
  or  does the range consist of only 2 years (which is implied by asking 'for all intents and purposes')
and, in any case, which is grammatical?

 ""Does there"
167,what is the youngest age in order to have an account?,"[' account', 'youngest age', ' account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","and  the age of the account   are both best fits for the intent: oldest age for a record of events, youngest ages in time order

Given a sentence: the earliest date that the user can select is 10 days ago, the last is one week, and the one in between is two days.
I'd like to do the same type of query as above, but this time I would like ""the day between yesterday and last Friday"", or if that's not possible, ""last Friday to one day before today"". It would look like this:
SELECT DISTINCT 
  date_column
, (CASE WHEN date < '2018-01-10T00:00' THEN
DATE_ADD('20180110', -1)
ELSE date END) AS ""Yesterday-Today""
FROM my_table;
+---------------------+------------------------+
|  (date_column)  |  Yesterday-Today  () |
-----------------+----------------------+
--------------------- -----------------------
1: 2018-02-22 13:46  2018.02.17  2: 00:11  3: 05:22
2:  2017-11-24 20:13  2016.11.23 19: 14:32  20.13
3: 2017.05.22 11:16  2020.01.31 23: 03:03  11.16
4: 2020-05-23 11 13.00 2020/05/22 23 03.03 22.51
5: 2019.10.09 14 14.50 2019/10/15 23 23.55 09.24
6: 2040.12.20 10 12.54 2020+12+15 03 30.15 14
7: 2016-06-17 16 17.43 2016+06+16 23 01.25 16
8: 2007.04.28 09 09 0.08 2007+04+28 23 05.29 09
9: 2008.06.27 11 11 8.48 2008+07+27 23 04.30 11
10: 2009.07.26 10 10 1.35 2009+08+26 23 00.33 10
11: 2010. 05 01 12 1 2011-04-28 03"
168,what age do i have to be?,['have age'],"Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","have the current/last birthday date? do I have? I was born in [date], but am now [age] years old. I will be [future time]. I am [first, second, etc] year [old]. Are there other possible options or are they all the same?

In the above scenarios, is there a significant difference between the various answers? 
What about: the age I reached my milestone last time? If not, what about the ages reached previously or the present time, or if this isn't a good question, why not? How about age or age since? What about a specific time or event, like the day I graduated from high school, my first job, first girlfriend, marriage...? Or even something not directly referring to age, maybe something more general like a birthday present I'd like, a present my wife wants for my birthday, an occasion in general. Do you get the point...
And finally is all of this a valid question? And if not is one of them or another? Which one, and why? Maybe a bit of all, as they're somewhat related? Is there an accepted/correct answer, in terms of grammar? Perhaps this belongs in ELU? (As an aside, I asked at EL, no help so far. Thanks.)
EDIT: It was suggested I use date instead of age. Is that acceptable? It seems like an age is something that can be compared to a date. Or is it that, because ages aren't fixed, but change, the word ""age"" is ambiguous, with the only possible answers being a time period (in the first case), or a single number (like the number of years since an event occurred).
This question was motivated by this: https://ell.stackexchange.com/a/27982#comment_163388
I don't think this is an exact duplicate of the question asked in the other thread, since it's specifically about ""the age"" vs ""when"", while the previous question is about general word-choice in a sentence.
Also, this topic has come up in another context in comments, see ""The age when"" and ""When does a person reach the end of a stage of life?""
Thanks.   :)
P.S.: I'm not sure why the"
169,can my daughter open an account?,"['open account', 'open account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","open savings account. open bank account?open savings/checking/credit card account

I've already seen this question answered here, and the answer seems to be ""it depends"" since the phrase in quotes has different senses in each case. I'd like to know whether there's a clear consensus on how to approach the issue, or whether we need to settle on a convention for the site.
The problem is that if we adopt a consistent approach for all these different cases, then there won't be any way to express the sentence ""I want to open a new savings / checking / credit card / etc account."" If we instead adopt an inconsistent approach, the ambiguity could be resolved by adding ""for my"" or ""my account"", but that would make the language more cumbersome. So what's the right way?
(I'm not sure whether my use of ""approach"" is appropriate. The best that I can do is to say ""the site should decide"").
EDIT:
Some of the answers below suggest splitting the question into different ones. Since it's not possible to split the original question because there is no clear-cut answer, that's also what I'll do in the form of answers. To make it easier to compare, I will split my question up into: for your account, for mine, etc. 
My first two answers are a simple case of how the OP wants to use the phrases. Then we have the case where the user asks someone else to help her, in which case the context determines the appropriate wording. My last three answers (by @Nigel Ren) cover all those cases. It's hard to decide which of his answers is best, but I think it has to do with how well he's captured all the situations I was aiming to cover. Anyway they're all worth reading. :)
Thanks
PS: I've also created a discussion in chat where anyone is welcome to participate. If you have any question about the usage of these phrases, just ask there and I'l try to answer in a timely fashion. Thanks for everyone's help!
PPS (to @Vince): I'm also aware of this discussion, which I believe settles some of our issues of usage. But I wanted to make sure the new answers were all considered. In any case, we could merge these discussions if they are relevant to us"
170,what is the minimum age to open an account?,"['open account', 'minimum age', 'open account']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?","open accounts? account age maximum? Account open age minimum. Is account open maximum age a common expression? How is account max age commonly used? Are there any other forms that are commonly found in this construction?

The expression account is sometimes found with the definite article. Can we say ""account is open""?
Do we have ""open account"" or is it more common to have  ""Open account?""
What is ""the open (account)"" in the expression: What's the open(est) account you have? 
""What's (your) open or the (most) closed account"".
Can we replace (my most closed)account with a possessive noun or pronoun, e.g. ""What (is my) most open, or (I) have account"", or ""I have the most (a lot) of them.""? If the possessives have to be plural would it be better to say""I had (the most of) them""or ""what(ever) accounts (have)""?   Can the plural possessors refer to a number of account(s)?
How can we express that it is a minimum number? ""There (should be) a least/minimum number (of accounts) opened.""
If the noun refers to money or property, how can the phrase (in the sense that is not plural) to ""have (any) money"" be expressed? Or ""Have we ____________?"" ""How many _______ have we?"" Or, ""We'll _____ the accounts at our bank."" 

 ""A minimum (number) ____________________."" (or )""There has to ____ a (lot) minimum.""

 The expression  to make  a  (certain) (something) possible, possible. This includes the phrases possible or make possible.""To make a certain (thing) be possible/Make a thing possible:
We must have more money (to) make it possible to keep a staff this year."" ""The new law makes possible the  sale of alcohol in bars and restaurants from  6pm to midnight."" This expression is generally used to give the idea of an action that may or may not be carried out, but could be the case.
This could also be used with other verbs:  We must make our vacation this summer possible""."
171,what is the minimum age?,"['minimum age', ' age']","Given the utterance: {}. What is the best fitting intent, if any, among the following: {}?",". Does it matter what the word is or how the user is speaking? 

A:
The first sentence is fine but I would recommend changing age to the singular as it is a number.
For example:  ""What is my age?""  = ""My age is...""
This way you make it clear that you want to know what someone's current age (age) is. If you use age in the plural you could get into trouble. ""How many ages are there? There are two ages, the age of the universe and the earth (earth). The earth is four and a half ages old, which is about 6 billion years old"".
I'd also consider adding the modifier: ""my actual"", which would help make the first example clearer. For example, ""I just turned 21"" instead of ""When I was 21 I... I have been 21 years..."""
